weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
14.0,1.0012223311693726,80.61480489594335,0.051213387399022,68.2,72.4,76.5,80.6,84.7,88.9,93.0
15.0,0.9818651812241422,91.93382065064436,0.051981258758328645,77.6,82.4,87.2,91.9,96.7,101.5,106.3
16.0,0.9589554404566026,103.19092654373789,0.0524403809896136,87.0,92.4,97.8,103.2,108.6,114.0,119.5
17.0,0.9625873034041441,114.40481305786022,0.05260734316486508,96.4,102.4,108.4,114.4,120.4,126.5,132.5
18.0,0.9985604328624369,125.59900461575545,0.05237781371042628,105.9,112.4,119.0,125.6,132.2,138.8,145.3
19.0,1.0327822174111503,136.71004430600098,0.05200731820835692,115.3,122.5,129.6,136.7,143.8,150.9,158.0
20.0,1.0180536924091352,147.74285330100133,0.05165525463438392,124.8,132.5,140.1,147.7,155.4,163.0,170.6
21.0,1.0000003780932787,158.70000044922904,0.05103969242013062,134.4,142.5,150.6,158.7,166.8,174.9,183.0
22.0,1.0266276338508473,169.6089519027823,0.050637416671018176,143.8,152.4,161.0,169.6,178.2,186.8,195.3
23.0,1.015132708256216,180.42803378419507,0.05009681223527172,153.3,162.3,171.4,180.4,189.5,198.5,207.5
24.0,1.0105955445542796,191.16713181236153,0.04958109548142074,162.7,172.2,181.7,191.2,200.6,210.1,219.6
25.0,0.9898292111894825,201.83290900498176,0.04915802891962574,172.1,182.0,191.9,201.8,211.8,221.7,231.6
26.0,1.0000028854892484,212.4000031398358,0.04879607126189,181.3,191.7,202.0,212.4,222.8,233.1,243.5
27.0,1.000884016193119,222.9009316126992,0.0485480293054251,190.4,201.3,212.1,222.9,233.7,244.5,255.4
28.0,1.0000008509305447,233.3000005835494,0.048435486800225476,199.4,210.7,222.0,233.3,244.6,255.9,267.2
29.0,1.0000007241901767,243.60000048220505,0.04844006136917444,208.2,220.0,231.8,243.6,255.4,267.2,279.0
30.0,0.9921004164176787,253.81905154828317,0.04865775593716973,216.8,229.1,241.5,253.8,266.2,278.5,290.9
31.0,1.0112379291955296,263.94285377283495,0.04899440423450029,225.1,238.1,251.0,263.9,276.9,289.8,302.7
32.0,0.9824117529275056,273.9048137370497,0.04958951373171198,233.2,246.8,260.3,273.9,287.5,301.1,314.7
33.0,0.9931254840418885,283.8328927047276,0.05045827252247273,240.9,255.2,269.5,283.8,298.2,312.5,326.8
34.0,0.984788655042834,293.6048176909494,0.05149285306165237,248.3,263.4,278.5,293.6,308.7,323.9,339.0
35.0,1.000281565085805,303.28619334710413,0.05284960368610121,255.2,271.2,287.3,303.3,319.3,335.3,351.4
36.0,0.994619881210886,312.8328574075924,0.05441161898702694,261.8,278.8,295.8,312.8,329.9,346.9,363.9
37.0,0.9933193717687019,322.2719901110092,0.05635351529105584,267.8,286.0,304.1,322.3,340.4,358.6,376.8
38.0,1.000230996798814,331.58624268849684,0.05859275557105339,273.3,292.7,312.2,331.6,351.0,370.4,389.9
39.0,1.0039352586745223,340.76722153351096,0.06116342773861697,278.2,299.1,319.9,340.8,361.6,382.4,403.3
40.0,0.9919725542066231,349.79112360840884,0.06407129028142113,282.6,305.0,327.4,349.8,372.2,394.6,417.1
