weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
14.0,1.0659212737256127,29.627807546674024,0.0586866992783785,24.4,26.1,27.9,29.6,31.4,33.1,34.8
15.0,0.9999932734507468,32.59999863411107,0.05631025291978673,27.1,28.9,30.8,32.6,34.4,36.3,38.1
16.0,0.9522966237455608,35.63294075129268,0.053930773385704886,29.9,31.8,33.7,35.6,37.6,39.5,41.4
17.0,1.1125226229619345,38.79513516408285,0.051990343329696646,32.7,34.7,36.8,38.8,40.8,42.8,44.8
18.0,1.1106314527449146,41.995142104756,0.05041063679970035,35.6,37.7,39.9,42.0,44.1,46.2,48.3
19.0,0.9999992587002512,45.199999752190635,0.04867256379283081,38.6,40.8,43.0,45.2,47.4,49.6,51.8
20.0,1.0000006224389435,48.400000104724704,0.04752065532657356,41.5,43.8,46.1,48.4,50.7,53.0,55.3
21.0,0.9999987987122744,51.6999998690027,0.04642165592799815,44.5,46.9,49.3,51.7,54.1,56.5,58.9
22.0,1.0446367828244831,54.96714562309683,0.04508664156175403,47.5,50.0,52.5,55.0,57.4,59.9,62.4
23.0,1.0000034230086845,58.20000079677925,0.0440598860953987,50.5,53.1,55.6,58.2,60.8,63.3,65.9
24.0,1.0415166890794716,61.380950421715305,0.04316875550871627,53.4,56.1,58.7,61.4,64.0,66.7,69.3
25.0,1.061612494137996,64.54285551976801,0.04232452045346438,56.3,59.1,61.8,64.5,67.3,70.0,72.7
26.0,1.0000071325980007,67.60000156578907,0.04142012624951087,59.2,62.0,64.8,67.6,70.4,73.2,76.0
27.0,0.9982873702930333,70.58531338089013,0.04068038509737535,62.0,64.8,67.7,70.6,73.5,76.3,79.2
28.0,1.040121471986164,73.48095118829278,0.040143173176271245,64.6,67.6,70.5,73.5,76.4,79.4,82.3
29.0,1.0378053962709175,76.26621120159409,0.03961390318606158,67.2,70.2,73.2,76.3,79.3,82.3,85.3
30.0,0.9985199690982213,78.91393124525409,0.038921343579660234,69.7,72.8,75.8,78.9,82.0,85.1,88.1
31.0,0.999998988124931,81.39999979757869,0.03852228369132546,72.0,75.1,78.3,81.4,84.5,87.7,90.8
32.0,1.0410745579070606,83.76706931549398,0.03794250327607199,74.2,77.4,80.6,83.8,86.9,90.1,93.3
33.0,0.9613356978207588,85.9190500750397,0.0378285577592197,76.2,79.4,82.7,85.9,89.2,92.4,95.7
34.0,1.0029170767706992,87.90072999514652,0.03778599283162688,77.9,81.3,84.6,87.9,91.2,94.5,97.9
35.0,1.0929830475255022,89.69518972541528,0.037700140792060605,79.5,82.9,86.3,89.7,93.1,96.4,99.8
36.0,1.0559147742007526,91.22899311901091,0.0379303943413212,80.8,84.3,87.8,91.2,94.7,98.1,101.6
37.0,0.9651081535705252,92.51905034113425,0.03837261872333417,81.9,85.4,89.0,92.5,96.1,99.6,103.2
38.0,0.9513045546204281,93.57174309633714,0.039125079055617136,82.6,86.3,89.9,93.6,97.2,100.9,104.6
39.0,0.9986945641291458,94.3853202516382,0.03995787995078922,83.1,86.8,90.6,94.4,98.2,101.9,105.7
40.0,1.0024534014673823,94.9007967611144,0.04132113653190741,83.1,87.1,91.0,94.9,98.8,102.7,106.7
