weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
14,0.9037125710195586,90.16187051273447,1.0242081663778233,66.09,73.1,81.07,90.16,100.56,112.48,126.19
15,0.2384394578224484,113.78417722699466,1.0215439309949983,85.91,93.92,103.12,113.78,126.2,140.78,158.02
16,0.1082327532504323,142.1986081860396,1.0196098602706043,109.18,118.62,129.52,142.2,157.06,174.64,195.66
17,0.0710365937302778,176.09033137820393,1.0181968507869803,136.46,147.81,160.89,176.09,193.92,215.03,240.3
18,0.0600052373714725,216.186081172344,1.0171616410581097,168.3,182.04,197.85,216.19,237.63,262.94,293.16
19,0.0602636678101327,263.24463944788965,1.0164040625844777,205.18,221.9,241.08,263.24,289.07,319.44,355.49
20,0.0681269367568993,318.04423795284566,1.0158528293117184,247.6,267.95,291.23,318.04,349.16,385.57,428.54
21,0.083443129423977,381.36666990865047,1.015456420036546,296.0,320.73,348.96,381.37,418.82,462.42,513.58
22,0.1077919908517784,453.9779939557827,1.0151770894333512,350.8,380.78,414.91,453.98,498.95,551.06,611.85
23,0.1440859694521957,536.6058364966332,1.0149868514731033,412.37,448.57,489.68,536.61,590.43,652.52,724.57
24,0.19660568990283,629.9134490544116,1.0148647352372535,481.0,524.5,573.8,629.91,694.07,767.77,852.87
25,0.2712065495741567,734.470853331136,1.0147948786024772,556.92,608.9,667.7,734.47,810.57,897.66,997.74
26,0.3756070537436441,850.7236039991392,1.0147651839557463,640.23,701.98,771.72,850.72,940.51,1042.89,1160.05
27,0.5197183473104314,978.9599113429,1.0147663572646388,730.93,803.83,886.03,978.96,1084.28,1203.98,1340.41
28,0.7159889316951402,1119.2770836850884,1.0147912126319705,828.87,914.38,1010.66,1119.28,1242.07,1381.19,1539.16
29,0.9797429423806032,1271.5484617124907,1.0148341632717268,933.77,1033.4,1145.41,1271.55,1413.81,1574.51,1756.34
30,1.3294920337075233,1435.3922098884,1.0148908450613523,1045.17,1160.45,1289.89,1435.39,1599.12,1783.56,1991.57
31,1.787202396504762,1610.1434890136015,1.0149578354845243,1162.42,1294.89,1443.45,1610.14,1797.32,2007.62,2244.05
32,2.3785005665885475,1794.831642722415,1.0150324419511505,1284.72,1435.87,1605.17,1794.83,2007.35,2245.53,2512.52
33,3.132804642115863,1988.1640734176683,1.0151125410796769,1411.05,1582.3,1773.88,1988.16,2227.79,2495.71,2795.2
34,4.083371186195755,2188.5184452780586,1.0151964557613782,1540.24,1732.87,1948.13,2188.52,2456.82,2756.11,3089.77
35,5.267252182354889,2393.9447215277482,1.0152828604759807,1670.93,1886.07,2126.19,2393.94,2692.23,3024.22,3393.39
36,6.725160624244546,2602.178312134169,1.015370707901052,1801.61,2040.15,2306.08,2602.18,2931.43,3297.09,3702.71
37,8.501247360005385,2810.6652738031453,1.0154591716906871,1930.62,2193.2,2485.6,2810.67,3171.48,3571.36,4013.89
38,10.64279542671824,3016.6000703541595,1.0155476016176197,2056.22,2343.16,2662.32,3016.6,3409.14,3843.29,4322.65
39,13.199841118896485,3216.9758793922542,1.0156354882301224,2176.58,2487.86,2833.67,3216.98,3640.92,4108.86,4624.37
40,16.224733327084987,3408.646839484344,1.0157224348758913,2289.84,2625.05,2997.0,3408.65,3863.14,4363.81,4914.18
41,19.77164421714905,3588.4009971981945,1.0158081354623751,2394.14,2752.48,3149.58,3588.4,4072.04,4603.77,5187.04
