weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
14.0,0.9356761225699992,33.75715216987437,0.05724889540436624,28.0,29.9,31.8,33.8,35.7,37.6,39.6
15.0,1.100617445566832,38.30873506083083,0.054515015165842555,32.0,34.1,36.2,38.3,40.4,42.5,44.5
16.0,1.0611960476290265,42.84285472162693,0.052089284240398555,36.1,38.4,40.6,42.8,45.1,47.3,49.5
17.0,1.041934050092317,47.36719178488785,0.05020882906954135,40.2,42.6,45.0,47.4,49.7,52.1,54.5
18.0,1.0364460630866386,51.8661040320366,0.04860890508535024,44.3,46.8,49.3,51.9,54.4,56.9,59.4
19.0,0.9619183258066963,56.31905114565065,0.047057643670515806,48.4,51.0,53.7,56.3,59.0,61.6,64.3
20.0,0.9982181874253063,60.68526206258867,0.04566908324933188,52.4,55.1,57.9,60.7,63.5,66.2,69.0
21.0,1.0000003878029797,65.00000013733937,0.04461537948733538,56.3,59.2,62.1,65.0,67.9,70.8,73.7
22.0,0.9103813330158991,69.19076002202485,0.043520325179215676,60.2,63.2,66.2,69.2,72.2,75.2,78.3
23.0,1.0015970967416479,73.31471269090925,0.042673021570099806,63.9,67.1,70.2,73.3,76.4,79.6,82.7
24.0,0.9999992187313342,77.30000007536704,0.041859173169868404,67.6,70.8,74.1,77.3,80.5,83.8,87.0
25.0,1.0360673331349395,81.16709482527337,0.04118171314282321,71.1,74.5,77.8,81.2,84.5,87.8,91.2
26.0,1.0338841816498952,84.88095084555621,0.04064231083945518,74.5,78.0,81.4,84.9,88.3,91.8,95.2
27.0,0.9666595144821677,88.41905005069263,0.04015207234916218,77.8,81.3,84.9,88.4,92.0,95.5,99.1
28.0,1.0000023920307686,91.80000077628426,0.039915960794879864,80.8,84.5,88.1,91.8,95.5,99.1,102.8
29.0,1.00000381256239,95.00000092436478,0.03962405376916954,83.7,87.5,91.2,95.0,98.8,102.5,106.3
30.0,0.9227842082682267,98.00478488022225,0.03961651386026871,86.4,90.3,94.1,98.0,101.9,105.8,109.7
31.0,0.9693688922067486,100.83301429229398,0.039884195159230265,88.8,92.8,96.8,100.8,104.9,108.9,112.9
32.0,1.0298771394085806,103.46707408118782,0.04003795845720023,91.0,95.2,99.3,103.5,107.6,111.7,115.9
33.0,1.0286581935594339,105.86707362362944,0.040412207979667374,93.0,97.3,101.6,105.9,110.1,114.4,118.7
34.0,1.0385709751606034,108.04285428581329,0.041349191325037365,94.6,99.1,103.6,108.0,112.5,117.0,121.4
35.0,0.9750345386285706,109.93298623580161,0.04236558013820336,96.0,100.6,105.3,109.9,114.6,119.3,123.9
36.0,0.9786493631844936,111.63373342774263,0.043703581255676666,97.0,101.9,106.8,111.6,116.5,121.4,126.3
37.0,1.0212621420325096,113.06711544106552,0.04548255862588665,97.6,102.8,107.9,113.1,118.2,123.3,128.5
38.0,0.9825438174344718,114.23377949981487,0.04764878316950756,97.9,103.4,108.8,114.2,119.7,125.1,130.6
39.0,0.984445731242069,115.1338090475309,0.050192277329621074,97.8,103.6,109.4,115.1,120.9,126.7,132.5
40.0,1.000000417600202,115.80000044504459,0.05354058205178412,97.2,103.4,109.6,115.8,122.0,128.2,134.4
