days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231.0,1.0055825399447889,4.484281464897956,0.16570538430185933,2.25,3.0,3.74,4.48,5.23,5.97,6.71
232.0,1.0030369767147134,4.556473635178871,0.16286004320343683,2.33,3.07,3.81,4.56,5.3,6.04,6.78
233.0,1.0094166473148425,4.6294556964411155,0.16018241039297676,2.4,3.14,3.89,4.63,5.37,6.11,6.85
234.0,1.0000004566036265,4.700000056300427,0.1574467992710177,2.48,3.22,3.96,4.7,5.44,6.18,6.92
235.0,0.9967064107599717,4.763510045628946,0.1549128709327058,2.55,3.29,4.03,4.76,5.5,6.24,6.98
236.0,0.9994635335753284,4.831313162762071,0.15257809909912998,2.62,3.36,4.09,4.83,5.57,6.31,7.04
237.0,0.9937531700868881,4.895718304350781,0.15052194527356955,2.69,3.42,4.16,4.9,5.63,6.37,7.11
238.0,0.9957575060627655,4.9619079939762285,0.1481453809198395,2.76,3.49,4.23,4.96,5.7,6.43,7.17
239.0,0.9964372972674109,5.023500559085604,0.14618373378432745,2.82,3.56,4.29,5.02,5.76,6.49,7.23
240.0,0.9934413596991606,5.085720504703648,0.14419503586567228,2.89,3.62,4.35,5.09,5.82,6.55,7.29
241.0,1.0109129436631574,5.1494709834249655,0.14206952892026334,2.95,3.68,4.42,5.15,5.88,6.61,7.34
242.0,1.0118725223100338,5.211067752354774,0.1402508407688372,3.01,3.75,4.48,5.21,5.94,6.67,7.4
243.0,1.0051770794387709,5.266780780686313,0.13818080389596812,3.08,3.81,4.54,5.27,5.99,6.72,7.45
244.0,0.9885350565744461,5.320519462076587,0.13690414485029287,3.14,3.87,4.59,5.32,6.05,6.78,7.51
245.0,0.999258892758765,5.378422444977221,0.13519854470351128,3.2,3.92,4.65,5.38,6.11,6.83,7.56
246.0,0.9946444201131492,5.433224659455192,0.1335851337751696,3.26,3.98,4.71,5.43,6.16,6.89,7.61
247.0,1.0048178503145675,5.488080615957884,0.13209078928937204,3.31,4.04,4.76,5.49,6.21,6.94,7.66
248.0,1.0066074827329603,5.542704699072143,0.13059106546263902,3.37,4.09,4.82,5.54,6.27,6.99,7.71
249.0,0.9944508827733666,5.593230061074385,0.1291245091039178,3.43,4.15,4.87,5.59,6.32,7.04,7.76
250.0,1.0042815930007114,5.646521114483599,0.12788083027533206,3.48,4.2,4.92,5.65,6.37,7.09,7.81
251.0,1.0125429969108104,5.699482119786022,0.12660884319456375,3.53,4.25,4.98,5.7,6.42,7.14,7.86
252.0,0.9955363220471783,5.743469462044212,0.12499714477018241,3.59,4.31,5.03,5.74,6.46,7.18,7.9
253.0,0.9870704511813427,5.790510912514812,0.1240621077220378,3.64,4.36,5.07,5.79,6.51,7.23,7.95
254.0,1.0000120168300497,5.840003087007103,0.12267565786447392,3.69,4.41,5.12,5.84,6.56,7.27,7.99
255.0,1.0053761334508966,5.888093792851331,0.1214196107145676,3.74,4.46,5.17,5.89,6.6,7.32,8.03
256.0,0.9945830215397496,5.931907105399834,0.12054589985701826,3.79,4.5,5.22,5.93,6.65,7.36,8.08
257.0,0.9917745093238663,5.9757186191557485,0.11936864874830337,3.84,4.55,5.26,5.98,6.69,7.4,8.12
258.0,1.0013479175535833,6.020230982238646,0.11828891130065593,3.88,4.6,5.31,6.02,6.73,7.44,8.16
259.0,0.9861647225477967,6.060505580771201,0.11747289008019968,3.93,4.64,5.35,6.06,6.77,7.49,8.2
260.0,1.014064194186145,6.109490788615849,0.11589311950949586,3.98,4.69,5.4,6.11,6.82,7.52,8.23
261.0,1.0141629341769534,6.149491323829568,0.11513945391865825,4.02,4.73,5.44,6.15,6.86,7.56,8.27
262.0,1.006380498998172,6.186764449440582,0.11440307998744721,4.06,4.77,5.48,6.19,6.89,7.6,8.31
263.0,0.9912482701601217,6.225716485442373,0.11354196648455293,4.11,4.81,5.52,6.23,6.93,7.64,8.35
264.0,1.0051145117745157,6.266539913906552,0.11260735827682229,4.15,4.85,5.56,6.27,6.97,7.68,8.38
265.0,0.9947910821458942,6.303453625481044,0.11173877565969431,4.19,4.9,5.6,6.3,7.01,7.71,8.42
266.0,0.9999929163402795,6.339999013794396,0.11097341589949287,4.23,4.93,5.64,6.34,7.04,7.75,8.45
267.0,1.0149929264394164,6.379492644587051,0.10998175864124149,4.27,4.97,5.68,6.38,7.08,7.78,8.48
268.0,1.0000001193415242,6.410000025225854,0.10920436276981928,4.31,5.01,5.71,6.41,7.11,7.81,8.51
269.0,1.000000242359974,6.450000117454531,0.10852711428748836,4.35,5.05,5.75,6.45,7.15,7.85,8.55
270.0,0.984555536973573,6.480501636900308,0.10776324476726673,4.39,5.09,5.78,6.48,7.18,7.88,8.58
271.0,1.0068975903406208,6.516759690476023,0.1070761819016522,4.42,5.12,5.82,6.52,7.21,7.91,8.61
272.0,0.9912322417631058,6.547256403188324,0.10632731279563318,4.46,5.16,5.85,6.55,7.24,7.94,8.64
273.0,1.0088271654502718,6.582737657065836,0.10540376922752656,4.5,5.19,5.89,6.58,7.28,7.97,8.66
274.0,1.0088724005201384,6.612738191080792,0.1049256448511163,4.53,5.22,5.92,6.61,7.31,8.0,8.69
275.0,0.9928950712110743,6.64324768759403,0.10419691761281002,4.57,5.26,5.95,6.64,7.34,8.03,8.72
276.0,0.9837700263421896,6.670498839707722,0.10372921068632289,4.6,5.29,5.98,6.67,7.36,8.06,8.75
277.0,1.0000019940445175,6.70000030499568,0.10298505192783973,4.63,5.32,6.01,6.7,7.39,8.08,8.77
278.0,1.0000002151814136,6.730000037250122,0.10252599801006883,4.66,5.35,6.04,6.73,7.42,8.11,8.8
279.0,0.9986206819083204,6.759804504021975,0.10175868983784377,4.7,5.38,6.07,6.76,7.45,8.14,8.82
280.0,0.9898614023770481,6.78571624166845,0.10122281517419976,4.73,5.41,6.1,6.79,7.47,8.16,8.85
281.0,0.9925828025997869,6.813249570852812,0.10065314600400516,4.76,5.44,6.13,6.81,7.5,8.19,8.87
