days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231.0,0.9949742681986813,4.493215215938199,0.15183771237232907,2.45,3.13,3.81,4.49,5.18,5.86,6.54
232.0,0.9999988569745727,4.549999943205416,0.14945054631414578,2.51,3.19,3.87,4.55,5.23,5.91,6.59
233.0,0.9999998942254368,4.610000049995813,0.14750541281093393,2.57,3.25,3.93,4.61,5.29,5.97,6.65
234.0,1.0000001757149581,4.670000040827919,0.14561027179416355,2.63,3.31,3.99,4.67,5.35,6.03,6.71
235.0,1.003888089493006,4.726499988695509,0.1443085233525156,2.68,3.36,4.04,4.73,5.41,6.09,6.77
236.0,1.0000000074015014,4.779999999896858,0.1422594094352211,2.74,3.42,4.1,4.78,5.46,6.14,6.82
237.0,1.0000001226302024,4.840000032721753,0.1404958613816955,2.8,3.48,4.16,4.84,5.52,6.2,6.88
238.0,0.988545088491929,4.889203454930936,0.13933815448474543,2.85,3.53,4.21,4.89,5.57,6.25,6.94
239.0,0.9999999498161318,4.949999999154059,0.13737373188480473,2.91,3.59,4.27,4.95,5.63,6.31,6.99
240.0,0.9882513738540674,4.9991990363611585,0.13627155554512102,2.96,3.64,4.32,5.0,5.68,6.36,7.05
241.0,1.0000001026218495,5.060000027410507,0.13438734574606925,3.02,3.7,4.38,5.06,5.74,6.42,7.1
242.0,1.0000001997713666,5.1100000325486965,0.13307239908864657,3.07,3.75,4.43,5.11,5.79,6.47,7.15
243.0,0.9872642228528925,5.160514230778551,0.1321507273265801,3.12,3.8,4.48,5.16,5.84,6.53,7.21
244.0,1.0136698574163696,5.2210542595550695,0.13041043071209432,3.17,3.86,4.54,5.22,5.9,6.58,7.26
245.0,1.000000193707952,5.270000019553815,0.12903225948482497,3.23,3.91,4.59,5.27,5.95,6.63,7.31
246.0,0.9999990866838504,5.31999987940272,0.12781955052589353,3.28,3.96,4.64,5.32,6.0,6.68,7.36
247.0,0.9999988681757378,5.369999769193399,0.1266294829349368,3.33,4.01,4.69,5.37,6.05,6.73,7.41
248.0,1.0000000455583091,5.420000017586009,0.12546124967255384,3.38,4.06,4.74,5.42,6.1,6.78,7.46
249.0,1.000041191606095,5.470005952721763,0.12431399248442421,3.43,4.11,4.79,5.47,6.15,6.83,7.51
250.0,1.000002798971305,5.520001345061319,0.12318800308757484,3.48,4.16,4.84,5.52,6.2,6.88,7.56
251.0,1.0000012268397875,5.570000538128323,0.1220824556686656,3.53,4.21,4.89,5.57,6.25,6.93,7.61
252.0,1.004835137213627,5.616530422608713,0.12144204073421189,3.57,4.25,4.93,5.62,6.3,6.98,7.66
253.0,1.0000006424235148,5.660000270615981,0.12014129570631958,3.62,4.3,4.98,5.66,6.34,7.02,7.7
254.0,1.000000676986553,5.7100002898173,0.1190892750961829,3.67,4.35,5.03,5.71,6.39,7.07,7.75
255.0,0.9936273458370751,5.753237400642879,0.1185794360113563,3.71,4.39,5.07,5.75,6.44,7.12,7.8
256.0,1.0000000388390737,5.799999987678741,0.11724137723426256,3.76,4.44,5.12,5.8,6.48,7.16,7.84
257.0,0.9854607019563163,5.840505137286086,0.11676113139130331,3.8,4.48,5.16,5.84,6.52,7.21,7.89
258.0,0.9999992955271407,5.889999909551747,0.11544991323458915,3.85,4.53,5.21,5.89,6.57,7.25,7.93
259.0,1.0000001670069605,5.9300000183624695,0.11467115802778684,3.89,4.57,5.25,5.93,6.61,7.29,7.97
260.0,0.9856803156613021,5.9691685759874415,0.11412308003935583,3.93,4.61,5.29,5.97,6.65,7.33,8.02
261.0,1.0052562122035147,6.016540174833731,0.11336858661486153,3.97,4.65,5.33,6.02,6.7,7.38,8.06
262.0,1.0150679660615078,6.059491110333328,0.11248868308174467,4.01,4.69,5.38,6.06,6.74,7.42,8.1
263.0,1.015173390403187,6.099491536286072,0.11175115328740505,4.05,4.73,5.42,6.1,6.78,7.46,8.14
264.0,1.0053811283418086,6.136542936778867,0.11115176744612644,4.09,4.77,5.45,6.14,6.82,7.5,8.18
265.0,0.984591438729603,6.170502051585163,0.1105153370729308,4.13,4.81,5.49,6.17,6.85,7.54,8.22
266.0,1.0000001521237911,6.2100000373210476,0.10950079861033253,4.17,4.85,5.53,6.21,6.89,7.57,8.25
267.0,1.000001402157291,6.250000753269104,0.10879990416726892,4.21,4.89,5.57,6.25,6.93,7.61,8.29
268.0,0.9930685975903306,6.283244463196229,0.10857591432485003,4.24,4.92,5.6,6.28,6.97,7.65,8.33
269.0,1.000000132783805,6.320000027783393,0.10759493106405375,4.28,4.96,5.64,6.32,7.0,7.68,8.36
270.0,0.992995149639655,6.353245434853305,0.10737946170306709,4.31,4.99,5.67,6.35,7.04,7.72,8.4
271.0,0.9999998990262213,6.389999975059988,0.10641628296243949,4.35,5.03,5.71,6.39,7.07,7.75,8.43
272.0,1.0000001514187393,6.420000030578531,0.10591899694208391,4.38,5.06,5.74,6.42,7.1,7.78,8.46
273.0,0.9844225842155085,6.4491584388757826,0.10562748907384303,4.41,5.09,5.77,6.45,7.13,7.81,8.5
274.0,0.9928583905630026,6.483246968771372,0.10522606993959797,4.44,5.12,5.8,6.48,7.17,7.85,8.53
275.0,0.9928268142764816,6.5132473428197,0.10474134337227288,4.47,5.15,5.83,6.51,7.2,7.88,8.56
276.0,0.98361948113601,6.54049901662582,0.10426212169612495,4.5,5.18,5.86,6.54,7.22,7.91,8.59
277.0,1.0000001067944528,6.570000030257619,0.10350075440873055,4.53,5.21,5.89,6.57,7.25,7.93,8.61
278.0,1.0000001580540854,6.600000030553719,0.10303029743568125,4.56,5.24,5.92,6.6,7.28,7.96,8.64
279.0,1.017441412804995,6.631043498276281,0.10268610308413048,4.58,5.27,5.95,6.63,7.31,7.99,8.67
280.0,1.0000002254029943,6.650000037735196,0.10225563425452276,4.61,5.29,5.97,6.65,7.33,8.01,8.69
281.0,1.0000002198709896,6.68000003684632,0.10179640262419051,4.64,5.32,6.0,6.68,7.36,8.04,8.72
282.0,1.0000002182809005,6.700000036492429,0.10149253281091783,4.66,5.34,6.02,6.7,7.38,8.06,8.74
283.0,0.9837089869622581,6.719152092681577,0.10138232722027463,4.68,5.36,6.04,6.72,7.4,8.08,8.77
284.0,1.006021680343694,6.746555298873858,0.10110224967231536,4.7,5.38,6.06,6.75,7.43,8.11,8.79
285.0,1.0169353913290702,6.76949760422497,0.10069295424790634,4.72,5.4,6.09,6.77,7.45,8.13,8.81
286.0,1.0169880650345478,6.7894977692620495,0.10039640014795988,4.74,5.42,6.11,6.79,7.47,8.15,8.83
287.0,0.9925234703877264,6.803250726773802,0.10027606736289182,4.76,5.44,6.12,6.8,7.49,8.17,8.85
288.0,1.0000003769112014,6.819999997762096,0.09970674099343994,4.78,5.46,6.14,6.82,7.5,8.18,8.86
289.0,1.0000004683789705,6.839999985117199,0.09941520124353796,4.8,5.48,6.16,6.84,7.52,8.2,8.88
290.0,0.99247083021721,6.853251216771789,0.09954439859785431,4.81,5.49,6.17,6.85,7.54,8.22,8.9
291.0,1.0000006214000632,6.869999971315458,0.09898107448772704,4.83,5.51,6.19,6.87,7.55,8.23,8.91
292.0,1.0000006677475672,6.879999968635782,0.09883720689363734,4.84,5.52,6.2,6.88,7.56,8.24,8.92
293.0,1.0061785114234665,6.8965579683595735,0.09890337962260239,4.85,5.53,6.21,6.9,7.58,8.26,8.94
294.0,1.018176566311109,6.911040507066847,0.0985267671496719,4.86,5.55,6.23,6.91,7.59,8.27,8.95
295.0,1.0000007682645338,6.919999967331545,0.09826589419983273,4.88,5.56,6.24,6.92,7.6,8.28,8.96
296.0,1.0173543647345227,6.929498830508666,0.09836843806223361,4.88,5.56,6.25,6.93,7.61,8.29,8.97
297.0,0.9825984775146908,6.930496305123465,0.09839382882328168,4.89,5.57,6.25,6.93,7.61,8.3,8.98
298.0,1.0000007502485588,6.939999970866419,0.09798270717713986,4.9,5.58,6.26,6.94,7.62,8.3,8.98
299.0,1.0182809335994325,6.951040104235553,0.09795992165787303,4.9,5.59,6.27,6.95,7.63,8.31,8.99
300.0,1.0000007219955567,6.9499999735141005,0.09784172475136246,4.91,5.59,6.27,6.95,7.63,8.31,8.99
