days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231.0,0.8253402556191398,1.960613220393964,0.236066655596384,0.63,1.13,1.55,1.95,2.39,2.88,3.47
232.0,0.8203023171596946,2.0003931305741585,0.23131336338391753,0.67,1.17,1.59,1.99,2.43,2.92,3.51
233.0,0.8153018542736283,2.0401862412370706,0.22674515188110178,0.71,1.21,1.63,2.03,2.47,2.96,3.55
234.0,0.8022933445565584,2.075600642862526,0.2223147690649054,0.75,1.25,1.67,2.07,2.5,2.99,3.59
235.0,0.8091649430687,2.116607582182708,0.21741609904592818,0.79,1.29,1.71,2.11,2.54,3.03,3.62
236.0,0.8043008935250998,2.156431523294794,0.2133548731289842,0.83,1.33,1.75,2.15,2.58,3.07,3.66
237.0,0.7885478653850022,2.1926715928340887,0.20980273703886854,0.87,1.37,1.79,2.18,2.62,3.11,3.7
238.0,0.7802316540322266,2.2247978878837498,0.20625273792193394,0.91,1.4,1.82,2.22,2.65,3.14,3.73
239.0,0.7751555689759714,2.2646527649478996,0.20257976127247485,0.95,1.44,1.86,2.26,2.69,3.18,3.77
240.0,0.7876036576552906,2.302061758160199,0.19892124589531013,0.98,1.48,1.9,2.29,2.73,3.21,3.8
241.0,0.7663195408078701,2.334416387701729,0.19645561380635773,1.02,1.51,1.93,2.33,2.76,3.25,3.84
242.0,0.7792941737798372,2.371826133503567,0.19300924673849418,1.05,1.55,1.97,2.36,2.8,3.28,3.87
243.0,0.7575373311107851,2.4041997171914686,0.19068910626814367,1.09,1.58,2.0,2.4,2.83,3.32,3.91
244.0,0.7614164618949014,2.4385594604949308,0.18752345159756126,1.12,1.62,2.04,2.43,2.86,3.35,3.94
245.0,0.7626688632936715,2.473796515261261,0.1845363512853715,1.16,1.65,2.07,2.47,2.9,3.38,3.97
246.0,0.7586901670745422,2.5065532691432395,0.18209943665510878,1.19,1.69,2.1,2.5,2.93,3.42,4.0
247.0,0.7312353786452838,2.5369638589057204,0.17973615089843437,1.23,1.72,2.14,2.53,2.96,3.45,4.04
248.0,0.750845476597009,2.573538104748638,0.17731372397688375,1.26,1.75,2.17,2.57,3.0,3.48,4.07
249.0,0.7473131680462638,2.603465668461192,0.17525558188866922,1.29,1.78,2.2,2.6,3.03,3.51,4.1
250.0,0.7425536932195295,2.634789379913449,0.1728743849109067,1.32,1.82,2.23,2.63,3.06,3.54,4.13
251.0,0.7201784746442453,2.6634399188967746,0.17057605305313822,1.36,1.85,2.26,2.66,3.09,3.57,4.16
252.0,0.716429722735986,2.693374246605248,0.1686608770383474,1.39,1.88,2.29,2.69,3.12,3.6,4.19
253.0,0.7224917445475093,2.726323894858924,0.16647815203214253,1.42,1.91,2.33,2.72,3.15,3.63,4.22
254.0,0.718856884065424,2.756260506815149,0.16465266845592308,1.45,1.94,2.36,2.75,3.18,3.66,4.25
255.0,0.7052328720882931,2.7831923010113027,0.163164253650269,1.48,1.97,2.38,2.78,3.21,3.69,4.28
256.0,0.7185763095032752,2.814389449875358,0.1609729766363945,1.51,2.0,2.41,2.81,3.24,3.72,4.3
257.0,0.7033445623910655,2.8412637141777513,0.1592953892873568,1.54,2.03,2.44,2.84,3.26,3.75,4.33
258.0,0.6996882919186235,2.871209539642308,0.15761847749290706,1.57,2.06,2.47,2.87,3.29,3.78,4.36
259.0,0.7019606021649877,2.8959876699460843,0.1566358460071151,1.59,2.08,2.5,2.89,3.32,3.8,4.39
260.0,0.7162664871605819,2.9271984331544454,0.1546001111294399,1.62,2.11,2.53,2.92,3.35,3.83,4.41
261.0,0.6899601961090587,2.9510721912898203,0.15331413677174555,1.65,2.14,2.55,2.95,3.37,3.86,4.44
262.0,0.6878814278183792,2.9772373534277903,0.15135059175540985,1.68,2.17,2.58,2.97,3.4,3.88,4.46
263.0,0.7072042067735199,3.00706720652914,0.15046017220253982,1.7,2.19,2.61,3.0,3.43,3.91,4.49
264.0,0.6977407800644352,3.03073886014657,0.14867424554945546,1.73,2.22,2.63,3.03,3.45,3.93,4.51
265.0,0.6799874142079061,3.055756181861596,0.1476671557542025,1.76,2.24,2.66,3.05,3.48,3.96,4.54
266.0,0.691985335167551,3.0806632940322047,0.1462451573679289,1.78,2.27,2.68,3.08,3.5,3.98,4.56
267.0,0.6740105564804022,3.105685404571826,0.14527282179308548,1.81,2.29,2.71,3.1,3.53,4.01,4.59
268.0,0.6697889407656955,3.127010800530752,0.14403974356345825,1.83,2.32,2.73,3.12,3.55,4.03,4.61
269.0,0.6729269733438362,3.152315568442941,0.1424251178025475,1.86,2.34,2.76,3.15,3.57,4.05,4.63
270.0,0.6637780479298273,3.1769415609057283,0.14175690428424667,1.88,2.37,2.78,3.17,3.6,4.08,4.66
271.0,0.6614101153093269,3.196914867969787,0.1408633581682427,1.9,2.39,2.8,3.19,3.62,4.1,4.68
272.0,0.6530494120483126,3.2192504833933397,0.13953698276463142,1.93,2.41,2.82,3.22,3.64,4.12,4.7
273.0,0.6622927848242407,3.242194817368197,0.13844516531626602,1.95,2.43,2.85,3.24,3.66,4.14,4.72
274.0,0.6579967530920475,3.26351814849243,0.1373093204063806,1.97,2.46,2.87,3.26,3.68,4.16,4.74
275.0,0.6710570685609588,3.288070706446713,0.13662556130364006,1.99,2.48,2.89,3.28,3.71,4.19,4.76
276.0,0.6688377315117777,3.30804998448435,0.13579401262703902,2.01,2.5,2.91,3.3,3.73,4.21,4.78
277.0,0.6430037243048907,3.3268293599760494,0.13466943963651942,2.04,2.52,2.93,3.32,3.75,4.23,4.8
278.0,0.6406098858617524,3.3468074370809395,0.13385916790015262,2.06,2.54,2.95,3.34,3.77,4.25,4.82
279.0,0.6382189578143865,3.3667862081873805,0.13305851368839353,2.08,2.56,2.97,3.36,3.79,4.27,4.84
280.0,0.6358286826945245,3.3867651552404396,0.13226739900127418,2.1,2.58,2.99,3.38,3.81,4.29,4.86
