days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231.0,0.6543775213970994,30.894371915269396,0.04764042168934908,26.5,28.1,29.5,30.9,32.3,33.8,35.5
232.0,0.6531947570286798,30.994363141251103,0.04748658459637273,26.6,28.2,29.6,31.0,32.4,33.9,35.6
233.0,0.8311086487071128,31.10535932558018,0.04697353924033076,26.7,28.3,29.7,31.1,32.5,34.0,35.6
234.0,0.5622869660139522,31.126566362226786,0.046589196117348845,26.8,28.4,29.8,31.1,32.5,34.0,35.7
235.0,0.5608074037772245,31.226557041303323,0.046439843520558036,26.9,28.5,29.9,31.2,32.6,34.1,35.8
236.0,0.7481165099431534,31.338084554637582,0.04594138519816827,27.0,28.6,30.0,31.3,32.7,34.2,35.8
237.0,0.7446113326100092,31.423762567405266,0.045588436169504684,27.1,28.7,30.1,31.4,32.8,34.2,35.9
238.0,0.5055264468422886,31.464136327819528,0.04551554824048825,27.2,28.8,30.1,31.5,32.8,34.3,36.0
239.0,0.6992343703847799,31.575756286058333,0.04502867305823643,27.3,28.9,30.2,31.6,32.9,34.4,36.0
240.0,0.5388835388272885,31.61247760024968,0.044966950663439094,27.4,28.9,30.3,31.6,33.0,34.4,36.1
241.0,0.7338183986304195,31.723707184760592,0.04448120067387297,27.5,29.0,30.4,31.7,33.1,34.5,36.1
242.0,0.6082840457987114,31.794042219806098,0.04426587877066272,27.6,29.1,30.5,31.8,33.1,34.6,36.2
243.0,0.8076236586660149,31.890966132099273,0.04357477567571952,27.7,29.2,30.6,31.9,33.2,34.6,36.2
244.0,0.6377355770161389,31.95621145340987,0.04348357983493929,27.8,29.3,30.7,31.9,33.3,34.7,36.3
245.0,0.38237848109941497,31.996975462814945,0.04340396879797122,27.9,29.4,30.7,32.0,33.3,34.8,36.4
246.0,0.5821859857468338,32.0938697637487,0.04273726066676488,28.0,29.5,30.8,32.1,33.4,34.8,36.4
247.0,0.5808222307870027,32.193862944561204,0.04260439856154623,28.1,29.6,30.9,32.2,33.5,34.9,36.5
248.0,0.6132791303737352,32.25604709140892,0.041970218521384696,28.2,29.7,31.0,32.2,33.6,34.9,36.5
249.0,0.47970807030839563,32.31212569564996,0.04199816779158945,28.3,29.7,31.1,32.3,33.6,35.0,36.6
250.0,0.5692494147822932,32.394375042709925,0.04167847440597376,28.4,29.8,31.1,32.4,33.7,35.1,36.6
251.0,0.7921996960447222,32.490820713116314,0.04167010326490706,28.4,29.9,31.2,32.5,33.8,35.1,36.7
252.0,0.6939133586583797,32.53765396721436,0.041170307701355956,28.5,30.0,31.3,32.5,33.8,35.2,36.7
253.0,0.6929103536415541,32.63764748719519,0.04104409615147028,28.6,30.1,31.4,32.6,33.9,35.3,36.8
254.0,0.549446324250779,32.69367512085289,0.040858191120732024,28.7,30.2,31.4,32.7,34.0,35.3,36.9
255.0,0.6404104617457629,32.76122933268023,0.04056057889514549,28.8,30.2,31.5,32.8,34.0,35.4,36.9
256.0,0.4406525582368666,32.811917095847946,0.04026671496097238,28.9,30.3,31.6,32.8,34.1,35.4,37.0
257.0,0.5252601372479382,32.89353582498508,0.03973954890017255,29.0,30.4,31.7,32.9,34.1,35.5,37.0
258.0,0.6259388536786112,32.96077543052468,0.03988052861194427,29.0,30.5,31.7,33.0,34.2,35.5,37.1
259.0,0.6755453605347426,33.02336115481455,0.03969846695662664,29.1,30.5,31.8,33.0,34.3,35.6,37.1
260.0,0.5222455501899494,33.09352327968827,0.03949918369096233,29.2,30.6,31.9,33.1,34.3,35.7,37.2
261.0,0.7636020344825883,33.19058373062167,0.0388531761763854,29.3,30.7,32.0,33.2,34.4,35.7,37.2
262.0,0.41189752406247976,33.22657304333458,0.038902381394698864,29.4,30.8,32.0,33.2,34.5,35.8,37.3
