days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231.0,0.7314740152288015,1.8542571987386973,0.21286418364992418,0.75,1.15,1.5,1.85,2.23,2.66,3.16
232.0,0.7183511132154738,1.8958982847878452,0.2084804046537437,0.79,1.19,1.55,1.89,2.27,2.7,3.21
233.0,0.7111256743930774,1.9357721557134935,0.20411800073986025,0.83,1.23,1.59,1.93,2.31,2.74,3.25
234.0,0.7135672333641147,1.9739020926277946,0.20087011647990183,0.86,1.27,1.62,1.97,2.35,2.78,3.29
235.0,0.6922800327812565,2.014023353030798,0.1976759232625593,0.9,1.31,1.66,2.01,2.39,2.83,3.34
236.0,0.6850464387554683,2.0539186775682636,0.19377742675213713,0.94,1.35,1.7,2.05,2.43,2.87,3.38
237.0,0.6991322447626528,2.093681187500982,0.19096135570903347,0.97,1.38,1.74,2.09,2.47,2.91,3.42
238.0,0.6923499398898301,2.1335845527538524,0.18734022743030393,1.01,1.42,1.78,2.13,2.51,2.95,3.46
239.0,0.6816205563961909,2.168174940542134,0.18496607124831035,1.04,1.46,1.81,2.16,2.55,2.99,3.5
240.0,0.6768940144839761,2.206751699118951,0.18202464367959967,1.08,1.49,1.85,2.2,2.59,3.03,3.54
241.0,0.6889190899718046,2.2463738060097396,0.1789689234626917,1.11,1.53,1.89,2.24,2.63,3.06,3.58
242.0,0.6478107260439239,2.275365189446044,0.1768873241398324,1.15,1.56,1.92,2.27,2.66,3.1,3.62
243.0,0.6539111271648544,2.3121988601543144,0.17500727087118148,1.18,1.59,1.95,2.31,2.7,3.14,3.66
244.0,0.6385795357771155,2.3451179526501553,0.17247990506845876,1.21,1.63,1.99,2.34,2.73,3.17,3.7
245.0,0.6629293270345274,2.383234256886248,0.1702281533659015,1.24,1.66,2.02,2.38,2.77,3.21,3.73
246.0,0.6400318912919578,2.4119216622863404,0.16857783413775243,1.27,1.69,2.05,2.41,2.8,3.24,3.77
247.0,0.6384236287109245,2.448250666462585,0.1659150300785685,1.31,1.72,2.09,2.44,2.84,3.28,3.8
248.0,0.6306792807232017,2.4804902484161655,0.16415887594954848,1.34,1.75,2.12,2.48,2.87,3.31,3.84
249.0,0.6275137668017418,2.511963045755921,0.16237145517061954,1.37,1.78,2.15,2.51,2.9,3.35,3.87
250.0,0.6256058249978379,2.541792511211706,0.1612964207205817,1.39,1.81,2.18,2.54,2.93,3.38,3.91
251.0,0.634008757803022,2.574850368365609,0.15937784216273548,1.42,1.84,2.21,2.57,2.97,3.41,3.94
252.0,0.6310188970426404,2.606320033987353,0.15771441387881327,1.45,1.87,2.24,2.6,3.0,3.45,3.97
253.0,0.6071166504772201,2.6350261529190644,0.1563336055678475,1.48,1.9,2.27,2.63,3.03,3.48,4.01
254.0,0.602159510610567,2.6649874154394584,0.15455522221248688,1.51,1.93,2.3,2.66,3.06,3.51,4.04
255.0,0.6198908283559151,2.6960804708451995,0.1532085396892864,1.53,1.96,2.33,2.69,3.09,3.54,4.07
256.0,0.6151749236677193,2.7260403133743165,0.15150599186346056,1.56,1.99,2.36,2.72,3.12,3.57,4.1
257.0,0.585397238377842,2.748267559500346,0.1505954257116421,1.59,2.01,2.38,2.74,3.15,3.6,4.13
