days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231.0,0.3340368447205885,30.45192367197437,0.04735124437565858,26.2,27.8,29.1,30.5,31.8,33.3,35.1
232.0,0.5204140979522652,30.564205374472603,0.04685774975256864,26.3,27.9,29.2,30.6,31.9,33.4,35.1
233.0,0.36434627217998955,30.629244801891037,0.04673460783154608,26.4,28.0,29.3,30.6,32.0,33.5,35.2
234.0,0.36215607985334836,30.729231218726515,0.04658230066515614,26.5,28.1,29.4,30.7,32.1,33.6,35.3
235.0,0.5429599028272664,30.82639478656648,0.045882187062488915,26.6,28.2,29.5,30.8,32.2,33.6,35.3
236.0,0.41339833227386386,30.89591211391521,0.04564679245579183,26.7,28.3,29.6,30.9,32.2,33.7,35.4
237.0,0.4114117974551787,30.995901596036173,0.04549932333118473,26.8,28.4,29.7,31.0,32.3,33.8,35.5
238.0,0.6046498844015448,31.093499243827253,0.044803299064896177,26.9,28.5,29.8,31.1,32.4,33.8,35.5
239.0,0.6032886718592788,31.193489911015487,0.04465957617145641,27.0,28.6,29.9,31.2,32.5,33.9,35.6
240.0,0.6403278320856904,31.270311737625406,0.044209181466978185,27.1,28.7,30.0,31.2,32.6,34.0,35.6
241.0,0.4957757347738746,31.325176508867465,0.043778194393607646,27.2,28.8,30.1,31.3,32.6,34.0,35.7
242.0,0.49405952685808513,31.425164376748405,0.043638736838736474,27.3,28.9,30.2,31.4,32.7,34.1,35.8
243.0,0.7167538643355387,31.523485544208775,0.04340283811620427,27.4,28.9,30.3,31.5,32.8,34.2,35.8
244.0,0.44222939875453043,31.54884746239367,0.043122613301865585,27.5,29.0,30.3,31.6,32.8,34.2,35.9
245.0,0.4813146772737054,31.6259440208914,0.04268337329866414,27.6,29.1,30.4,31.6,32.9,34.3,35.9
246.0,0.479614035345158,31.725940616828076,0.042548714846038685,27.7,29.2,30.5,31.7,33.0,34.4,36.0
247.0,0.551229930271218,31.793020395732693,0.04179088459028838,27.8,29.3,30.6,31.8,33.0,34.4,36.0
248.0,0.5497304971097109,31.893011050358627,0.04165973864949962,27.9,29.4,30.7,31.9,33.1,34.5,36.1
249.0,0.44522865326639727,31.925705961309895,0.041160722770370105,28.0,29.5,30.7,31.9,33.2,34.5,36.1
250.0,0.287257293634555,31.994986710995853,0.04093970776475804,28.1,29.6,30.8,32.0,33.2,34.6,36.2
251.0,0.5373039399600003,32.093585861296525,0.040730990793058974,28.2,29.6,30.9,32.1,33.3,34.7,36.2
252.0,0.32847701554822784,32.14374486349788,0.04042386004937395,28.3,29.7,31.0,32.1,33.4,34.7,36.3
253.0,0.27245369740624864,32.196400248514756,0.040018073783783685,28.4,29.8,31.0,32.2,33.4,34.8,36.3
254.0,0.5158096956740822,32.292735985206534,0.04003549535280945,28.4,29.9,31.1,32.3,33.5,34.8,36.4
255.0,0.7698033549823324,32.39063380194799,0.039813136169573424,28.5,29.9,31.2,32.4,33.6,34.9,36.4
256.0,0.3963675914103154,32.41057426587059,0.03943864843208877,28.6,30.0,31.3,32.4,33.6,34.9,36.5
257.0,0.5028550869614802,32.49339519831781,0.03912818739796643,28.7,30.1,31.3,32.5,33.7,35.0,36.5
258.0,0.12393122858090111,32.52787884553762,0.03892982242557477,28.8,30.2,31.4,32.5,33.7,35.1,36.6
259.0,0.3822682101238897,32.61159408849781,0.03853811584385078,28.9,30.2,31.5,32.6,33.8,35.1,36.6
