days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231.0,1.4574718130849202,43.41047631612834,0.0452355419618704,37.2,39.5,41.6,43.4,45.2,47.1,49.3
232.0,1.3648775476732438,43.57958542055494,0.04516891634554054,37.4,39.7,41.7,43.6,45.4,47.3,49.5
233.0,1.321795650418839,43.71330503136601,0.04455386639027644,37.6,39.9,41.9,43.7,45.5,47.4,49.6
234.0,1.3231794406589283,43.913287919752776,0.044351144559483,37.8,40.1,42.1,43.9,45.7,47.6,49.8
235.0,1.3995515236039147,44.08192411831201,0.043679137018619224,38.0,40.3,42.3,44.1,45.8,47.7,49.9
236.0,1.4852786259960444,44.23931397201507,0.0435812303909832,38.1,40.5,42.4,44.2,46.0,47.9,50.0
237.0,1.402112287942087,44.38189481540222,0.043384221530511975,38.3,40.6,42.6,44.4,46.1,48.0,50.2
238.0,1.5575958800527019,44.5922861617862,0.042898419900019795,38.5,40.8,42.8,44.6,46.3,48.2,50.3
239.0,1.4107091913264094,44.695117562862706,0.04244286072548426,38.7,41.0,42.9,44.7,46.4,48.3,50.4
240.0,1.5734306319642302,44.8793072482173,0.04246280723669688,38.8,41.1,43.1,44.9,46.6,48.4,50.6
241.0,1.413325262449941,44.99509253027672,0.04216018080957554,39.0,41.3,43.2,45.0,46.7,48.6,50.7
242.0,1.5724839876045713,45.17645883532756,0.04171458463349515,39.2,41.4,43.4,45.2,46.9,48.7,50.8
243.0,1.4258529028815596,45.281874536105,0.041734123624289306,39.3,41.6,43.5,45.3,47.0,48.8,51.0
244.0,1.1739857443710706,45.456663869116454,0.04092201334440601,39.5,41.8,43.7,45.4,47.1,49.0,51.1
245.0,1.423466774544761,45.579547466314864,0.040995038874059135,39.7,41.9,43.8,45.6,47.3,49.1,51.2
246.0,1.5493293994431105,45.72628565210482,0.0406011930020925,39.8,42.1,44.0,45.7,47.4,49.2,51.3
247.0,1.374275266114285,45.813213396268864,0.040330908692001954,40.0,42.2,44.1,45.8,47.5,49.3,51.4
248.0,1.592724316497491,45.98950519758916,0.04035874126552192,40.1,42.3,44.2,46.0,47.7,49.5,51.5
249.0,1.3765743227086984,46.11318851952222,0.04006874974965187,40.3,42.5,44.4,46.1,47.8,49.6,51.7
250.0,1.377345785364173,46.21318146263616,0.03998213811298116,40.4,42.6,44.5,46.2,47.9,49.7,51.8
251.0,1.3499498098309786,46.35081513504352,0.0394847576556619,40.6,42.8,44.6,46.4,48.0,49.8,51.9
252.0,1.4685819792771786,46.481878671948735,0.039274648977348656,40.7,42.9,44.8,46.5,48.1,49.9,52.0
253.0,1.5674293452297143,46.61052314907864,0.0392210889784872,40.8,43.0,44.9,46.6,48.3,50.0,52.1
254.0,1.3966950650778667,46.71318872362865,0.03879003309914422,41.0,43.2,45.0,46.7,48.4,50.1,52.2
255.0,1.3974997933083662,46.81318174279983,0.038707242059206476,41.1,43.3,45.1,46.8,48.5,50.2,52.3
256.0,1.4681762866580828,46.979540947649966,0.038406096933421646,41.3,43.4,45.3,47.0,48.6,50.4,52.4
257.0,1.4691323993843146,47.07953476708521,0.03832459940417896,41.4,43.5,45.4,47.1,48.7,50.5,52.5
258.0,1.4832144209546898,47.19508386175414,0.0380777550632397,41.5,43.7,45.5,47.2,48.8,50.6,52.6
259.0,1.4841935158573107,47.29507702901094,0.03799732479576599,41.6,43.8,45.6,47.3,48.9,50.7,52.7
260.0,1.2914882426783056,47.382335707752546,0.037733684953741194,41.8,43.9,45.7,47.4,49.0,50.8,52.8
261.0,1.2920613139143793,47.48232941237714,0.03765427392426323,41.9,44.0,45.8,47.5,49.1,50.9,52.9
262.0,1.292632029182132,47.58232303984701,0.0375751878907352,42.0,44.1,45.9,47.6,49.2,51.0,53.0
263.0,1.6246774174137744,47.710609607612874,0.03696983402102339,42.1,44.2,46.1,47.7,49.3,51.0,53.0
264.0,1.6430260672767423,47.82642027584989,0.036728497305687544,42.2,44.4,46.2,47.8,49.4,51.1,53.1
265.0,1.6443292198499921,47.92641365919891,0.03665195172144698,42.3,44.5,46.3,47.9,49.5,51.2,53.2
266.0,1.4382979061845933,48.0131657442663,0.0364016858921552,42.5,44.6,46.4,48.0,49.6,51.3,53.3
267.0,1.439130075469224,48.11317074228791,0.03632610350580523,42.6,44.7,46.5,48.1,49.7,51.4,53.4
