weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
27.0,0.03002923988058193,0.6735363951711089,0.20822180884102073,0.36,0.44,0.55,0.67,0.83,1.02,1.25
28.0,-0.010291966232268473,0.8291380443068073,0.19697400754193334,0.46,0.56,0.68,0.83,1.01,1.23,1.5
29.0,-0.0007654161016086155,1.002058806058079,0.1878167198847311,0.57,0.69,0.83,1.0,1.21,1.46,1.76
30.0,-0.004347719118784739,1.1868442478254269,0.18014467422792751,0.69,0.83,0.99,1.19,1.42,1.7,2.04
31.0,-0.0010956072167643794,1.3887526188800028,0.1724078301884938,0.83,0.98,1.17,1.39,1.65,1.96,2.33
32.0,0.02055917743334418,1.5986234782122315,0.1669004020334013,0.97,1.14,1.35,1.6,1.89,2.23,2.63
33.0,0.015496531427022174,1.8107326081420243,0.16207088605672473,1.11,1.31,1.54,1.81,2.13,2.5,2.94
34.0,0.007692254211165604,2.037538029346577,0.156979798496561,1.27,1.49,1.74,2.04,2.38,2.79,3.26
35.0,-0.007454304450230225,2.2620154636384338,0.15382913823762695,1.43,1.66,1.94,2.26,2.64,3.08,3.59
36.0,0.01907035335436692,2.4985096799601823,0.14992254654523485,1.59,1.85,2.15,2.5,2.9,3.37,3.91
37.0,0.01890134336013495,2.7295899877941303,0.14730379870283333,1.75,2.03,2.36,2.73,3.16,3.66,4.24
38.0,-0.006803667283729393,2.9608689373804418,0.14461580022128673,1.92,2.22,2.56,2.96,3.42,3.96,4.57
39.0,-0.0029583170692369216,3.198918987435112,0.14207370732901095,2.09,2.41,2.77,3.2,3.69,4.25,4.9
40.0,-0.0008090602639036672,3.429999050993094,0.14052124344353245,2.25,2.59,2.98,3.43,3.95,4.54,5.23
41.0,-0.0013186503656451578,3.6648220543244197,0.13846976575150036,2.42,2.78,3.19,3.66,4.21,4.84,5.55
42.0,0.010615895866521832,3.8952790944966744,0.13698777415097918,2.58,2.96,3.4,3.89,4.47,5.12,5.87
43.0,0.009724531506003069,4.122057284088287,0.13585411374010173,2.74,3.14,3.6,4.12,4.72,5.41,6.19
44.0,0.002192838252909535,4.343218024029131,0.13440467503581857,2.9,3.32,3.8,4.34,4.97,5.68,6.5
45.0,-0.01151022638748974,4.55955069090342,0.13347974200837043,3.06,3.49,3.99,4.56,5.21,5.96,6.81
46.0,-0.0007960853670348692,4.775680883017362,0.1326846320520291,3.21,3.66,4.18,4.78,5.45,6.23,7.11
47.0,-0.0049430302975517195,4.986833767524913,0.1318353538255115,3.36,3.83,4.37,4.99,5.69,6.49,7.41
48.0,-0.002696668919536646,5.189792550494784,0.13143424086427558,3.5,3.99,4.55,5.19,5.92,6.75,7.7
49.0,-0.0029409529232074286,5.389026562021002,0.13075408949536635,3.64,4.15,4.73,5.39,6.14,7.0,7.98
50.0,0.00818261072469753,5.585887627662895,0.13026839998312445,3.78,4.3,4.9,5.59,6.36,7.25,8.25
51.0,0.01003632579083231,5.775028354620829,0.12997089952039514,3.91,4.45,5.07,5.77,6.58,7.49,8.52
52.0,-0.0016841081370540197,5.959357429204015,0.12946007389628916,4.04,4.6,5.24,5.96,6.78,7.72,8.79
53.0,-0.004098441489243918,6.136880257518583,0.1290848500143771,4.17,4.74,5.39,6.14,6.98,7.95,9.04
54.0,-0.0024224395430470715,6.312300248578204,0.12879277841219658,4.29,4.88,5.55,6.31,7.18,8.17,9.29
55.0,-0.0012914787097825396,6.479709889190179,0.1288189596876071,4.4,5.01,5.7,6.48,7.37,8.38,9.54
56.0,0.004532461365954673,6.64659760499236,0.12849101879291255,4.52,5.14,5.84,6.65,7.56,8.59,9.77
57.0,0.0007741232371299263,6.803348602696678,0.12849424255289857,4.63,5.26,5.98,6.8,7.74,8.8,10.0
58.0,0.004555716629965347,6.958840725851584,0.12856387977270425,4.73,5.38,6.12,6.96,7.91,9.0,10.23
59.0,-0.007199916480573315,7.10763787783847,0.12831017044455484,4.84,5.5,6.25,7.11,8.08,9.19,10.45
60.0,-0.0060994382224126885,7.25195605202746,0.1282310459125071,4.94,5.61,6.38,7.25,8.25,9.37,10.66
61.0,-0.004175791630411359,7.38929540226181,0.12823033054368757,5.03,5.72,6.5,7.39,8.4,9.55,10.86
62.0,0.005199136392971163,7.529735817220973,0.12827876617682868,5.12,5.83,6.62,7.53,8.56,9.73,11.06
63.0,-6.000498773396042e-05,7.660949929784206,0.12832684702674088,5.21,5.93,6.74,7.66,8.71,9.9,11.26
64.0,0.004334436477077216,7.787856303982645,0.12834144029974107,5.3,6.02,6.85,7.79,8.85,10.07,11.44
