weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
27.0,0.9414259272395129,24.75715632468269,0.06998622953693204,19.6,21.3,23.0,24.8,26.5,28.2,30.0
28.0,0.9999980612729454,25.90000156962881,0.06177609053482863,21.1,22.7,24.3,25.9,27.5,29.1,30.7
29.0,1.0622549505062189,26.967275444252333,0.05481480417367837,22.5,24.0,25.5,27.0,28.4,29.9,31.4
30.0,0.8265727259288405,27.904777991970505,0.049546808299987116,23.8,25.2,26.5,27.9,29.3,30.7,32.1
31.0,0.9192156692935756,28.833051175669702,0.045838000819771095,24.9,26.2,27.5,28.8,30.2,31.5,32.8
32.0,0.9999941602422131,29.69999928615423,0.04160653774412192,26.0,27.2,28.5,29.7,30.9,32.2,33.4
33.0,0.9961520455788764,30.51393903949515,0.038390197892444834,27.0,28.2,29.3,30.5,31.7,32.9,34.0
34.0,0.826053263796019,31.257147229953716,0.036226584727358666,27.9,29.0,30.1,31.3,32.4,33.5,34.7
35.0,1.0000005001488328,31.999999992197147,0.034374995153564666,28.7,29.8,30.9,32.0,33.1,34.2,35.3
36.0,1.1317975011400336,32.666173869546554,0.03235538330929714,29.5,30.5,31.6,32.7,33.7,34.8,35.8
37.0,0.9999955910979211,33.29999945451696,0.031102526457460908,30.2,31.2,32.3,33.3,34.3,35.4,36.4
38.0,0.6023919600326909,33.8903098593626,0.029825554773742574,30.9,31.9,32.9,33.9,34.9,35.9,37.0
39.0,1.0000164603456654,34.499999981469216,0.028985518991873283,31.5,32.5,33.5,34.5,35.5,36.5,37.5
40.0,0.5680205233251895,35.00476025119305,0.02805891779988964,32.1,33.1,34.0,35.0,36.0,37.0,38.0
41.0,1.1847910996268631,35.567104337845656,0.02750722465616359,32.6,33.6,34.6,35.6,36.5,37.5,38.5
42.0,0.8223674034739916,36.03341009330086,0.027159992615507427,33.1,34.1,35.1,36.0,37.0,38.0,39.0
43.0,0.9953160196073989,36.514043424094474,0.026604342870057526,33.6,34.6,35.5,36.5,37.5,38.5,39.4
44.0,1.1919017040750808,36.967095171558704,0.026465660201588814,34.0,35.0,36.0,37.0,37.9,38.9,39.9
45.0,0.9906356070359971,37.39952010598113,0.026165528550993706,34.5,35.4,36.4,37.4,38.4,39.4,40.3
46.0,0.5443324440432653,37.790681465453765,0.026178936942281173,34.9,35.8,36.8,37.8,38.8,39.8,40.8
47.0,1.000000583204523,38.200000036152346,0.026178005411908054,35.2,36.2,37.2,38.2,39.2,40.2,41.2
48.0,0.9999931987936239,38.59999953235652,0.02590672820029117,35.6,36.6,37.6,38.6,39.6,40.6,41.6
49.0,1.0000050224061967,38.90000102989335,0.025706933636142373,35.9,36.9,37.9,38.9,39.9,40.9,41.9
50.0,1.000001196264322,39.30000013249984,0.025445288099828708,36.3,37.3,38.3,39.3,40.3,41.3,42.3
51.0,0.5449278121499715,39.604760678767164,0.025701178077680912,36.6,37.6,38.6,39.6,40.6,41.7,42.7
52.0,0.8166190568651941,39.933269846479774,0.025580664756045944,36.9,37.9,38.9,39.9,41.0,42.0,43.0
53.0,1.1837701554822226,40.2670790418096,0.02589340705672993,37.1,38.2,39.2,40.3,41.3,42.3,43.4
54.0,1.1649295498434433,40.56623892780316,0.02605512149009674,37.4,38.4,39.5,40.6,41.6,42.7,43.7
55.0,1.2555913234052916,40.84285851468567,0.02613742769818168,37.6,38.7,39.8,40.8,41.9,43.0,44.0
56.0,0.5821706945916902,41.104760502589464,0.02632791267440015,37.9,39.0,40.0,41.1,42.2,43.3,44.4
57.0,1.0000025054480284,41.40000025274397,0.02657004361978893,38.1,39.2,40.3,41.4,42.5,43.6,44.7
58.0,0.6037039385102321,41.604760580179,0.026870343641203227,38.3,39.4,40.5,41.6,42.7,43.9,45.0
59.0,0.8741026754337242,41.89396836271833,0.026786196629141786,38.5,39.6,40.8,41.9,43.0,44.1,45.3
60.0,1.2346221272402467,42.14285883597147,0.026856586556391844,38.7,39.9,41.0,42.1,43.3,44.4,45.5
62.0,1.0000047571422332,42.60000032578423,0.027330645215680814,39.1,40.3,41.4,42.6,43.8,44.9,46.1
63.0,0.9961615381965399,42.81404232358364,0.027360893904552038,39.3,40.5,41.6,42.8,44.0,45.2,46.3
64.0,1.0000001526933293,42.999999930926435,0.027906969936638683,39.4,40.6,41.8,43.0,44.2,45.4,46.6
