weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
27.0,-0.035212123952905114,32.71623162605572,0.06932514156020007,26.6,28.5,30.5,32.7,35.1,37.6,40.3
28.0,-0.009726948674301546,34.56022839526612,0.06355675603412059,28.6,30.4,32.4,34.6,36.8,39.3,41.8
29.0,-0.01946476211288352,36.326216625707154,0.05912514859540891,30.4,32.3,34.3,36.3,38.5,40.9,43.4
30.0,0.09202963087000011,38.034665984496854,0.05488349062992065,32.2,34.1,36.0,38.0,40.2,42.4,44.8
31.0,-0.05278890237657196,39.58963107681532,0.051861645218425956,33.9,35.7,37.6,39.6,41.7,43.9,46.3
32.0,0.0604753035248403,41.14327926368457,0.0489318329170595,35.5,37.3,39.2,41.1,43.2,45.4,47.6
33.0,0.029442311701848925,42.595566448530455,0.04609429692194724,37.1,38.8,40.7,42.6,44.6,46.7,48.9
34.0,0.02435678343257403,43.96095321718691,0.044182465867264355,38.5,40.2,42.1,44.0,45.9,48.0,50.2
35.0,0.12323109885174602,45.28487929158686,0.04252794167498658,39.8,41.6,43.4,45.3,47.2,49.3,51.4
36.0,-0.05418650321109646,46.476556055057195,0.04116991897696182,41.1,42.8,44.6,46.5,48.4,50.5,52.6
37.0,0.0556302564096653,47.67160310485818,0.039794315995143444,42.3,44.0,45.8,47.7,49.6,51.6,53.7
38.0,-0.06301266458253403,48.80386769085429,0.03841274797461064,43.5,45.2,47.0,48.8,50.7,52.7,54.8
39.0,-0.17435886467263403,49.87662879392314,0.03763739618905689,44.6,46.3,48.0,49.9,51.8,53.8,55.9
40.0,-0.10875772785665977,50.90387099767597,0.036825284535748154,45.6,47.3,49.1,50.9,52.8,54.8,56.9
41.0,0.042674181369010133,51.91444529196075,0.035932144887998466,46.6,48.3,50.1,51.9,53.8,55.8,57.8
42.0,-0.1501392244765276,52.803873902424606,0.03549799372616362,47.5,49.2,51.0,52.8,54.7,56.7,58.8
43.0,-0.04830014807775976,53.7335359343508,0.034969980957977015,48.4,50.1,51.9,53.7,55.7,57.6,59.7
44.0,-0.08084506986529656,54.57164617761308,0.03475510163064141,49.2,50.9,52.7,54.6,56.5,58.5,60.6
45.0,-0.1356060201131737,55.40622244593426,0.03460937313455841,50.0,51.7,53.5,55.4,57.4,59.4,61.5
46.0,0.03127918713012908,56.2144373387479,0.0343280831783997,50.7,52.5,54.3,56.2,58.2,60.2,62.3
47.0,0.10249278358106288,56.98084551524277,0.03412630959809937,51.4,53.2,55.1,57.0,58.9,61.0,63.1
48.0,0.04126602238271872,57.7144517178072,0.0340558067487388,52.1,53.9,55.8,57.7,59.7,61.8,63.9
49.0,-0.14621164545849316,58.40390320573684,0.03381029627119884,52.8,54.6,56.5,58.4,60.4,62.5,64.7
50.0,-0.05583891367659349,59.07161780421132,0.033804298123222214,53.4,55.2,57.1,59.1,61.1,63.2,65.4
51.0,0.1131812432237212,59.78022578346217,0.03360457049856808,54.0,55.9,57.8,59.8,61.8,63.9,66.1
52.0,0.05888781519161706,60.41441832477431,0.03359998090995752,54.6,56.5,58.4,60.4,62.5,64.6,66.8
53.0,-0.09147299253162022,61.00608304874398,0.033663070053488064,55.2,57.0,59.0,61.0,63.1,65.3,67.5
54.0,-0.09499525196410728,61.6039287901161,0.03368255713255129,55.7,57.6,59.6,61.6,63.7,65.9,68.2
55.0,-0.007892127867007433,62.17159017044926,0.03373163890963147,56.2,58.1,60.1,62.2,64.3,66.5,68.8
56.0,0.01611455158652945,62.771575976127565,0.033980002896277985,56.7,58.6,60.7,62.8,64.9,67.2,69.5
57.0,-0.030498155298191706,63.305976615428996,0.034024830321313246,57.2,59.1,61.2,63.3,65.5,67.8,70.1
58.0,-0.03193134972779575,63.80395613647158,0.03409380426606176,57.6,59.6,61.7,63.8,66.0,68.3,70.7
59.0,0.04916756380133694,64.37156056546725,0.03413679569929296,58.1,60.1,62.2,64.4,66.6,68.9,71.3
60.0,0.060274265599978324,64.8849678416913,0.03430740171668884,58.5,60.6,62.7,64.9,67.1,69.5,71.9
61.0,-0.1339127760399238,65.30873495436505,0.03454639608526755,58.9,61.0,63.1,65.3,67.6,70.0,72.5
62.0,0.027460839112748537,65.8039672777703,0.034582033771096914,59.3,61.4,63.6,65.8,68.1,70.5,73.0
63.0,-0.04176685462777508,66.2897172940844,0.03480211086011613,59.7,61.9,64.0,66.3,68.6,71.1,73.6
64.0,0.10299427116315735,66.78312106672861,0.03483176938400869,60.1,62.3,64.5,66.8,69.1,71.6,74.1
