weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
27.0,-0.005816015652864213,0.6112585621843868,0.20771960552632715,0.33,0.4,0.5,0.61,0.75,0.93,1.14
28.0,-0.017399340458320086,0.756038442001176,0.19686895265268833,0.42,0.51,0.62,0.76,0.92,1.12,1.37
29.0,-0.03451089954589334,0.912048245157951,0.18749088593621138,0.52,0.63,0.76,0.91,1.1,1.33,1.61
30.0,0.01942397226374836,1.0873210587229445,0.17943719943570213,0.63,0.76,0.91,1.09,1.3,1.55,1.86
31.0,0.017249976795600603,1.2679938627230831,0.17356299070336195,0.75,0.9,1.06,1.27,1.51,1.79,2.13
32.0,0.018942319429971138,1.4560605748003184,0.16722638580981292,0.88,1.04,1.23,1.46,1.72,2.03,2.4
33.0,-0.02701877066193825,1.6528409569124312,0.16142876680745094,1.02,1.2,1.41,1.65,1.94,2.29,2.69
34.0,-0.008918721562591193,1.8589148666358506,0.1570713470203447,1.16,1.36,1.59,1.86,2.17,2.55,2.98
35.0,0.028138885699997458,2.0681227651803824,0.15374872517837357,1.3,1.52,1.77,2.07,2.41,2.81,3.27
36.0,0.022836525984130555,2.2811066037768932,0.15019442276499123,1.45,1.69,1.96,2.28,2.65,3.08,3.57
37.0,0.011334042699929273,2.4922419201367245,0.1469974726593249,1.6,1.86,2.15,2.49,2.89,3.34,3.87
38.0,0.023934376776241658,2.708376765165424,0.1445224139366728,1.75,2.03,2.34,2.71,3.13,3.61,4.17
39.0,-0.018385317258257265,2.9197595168482904,0.1421163296072051,1.91,2.2,2.53,2.92,3.37,3.88,4.48
40.0,-0.0012280210230283216,3.1339197539858947,0.14012391274468847,2.06,2.37,2.72,3.13,3.61,4.15,4.77
41.0,-0.009348250776420288,3.3451080889279248,0.138264063782847,2.21,2.54,2.91,3.35,3.84,4.41,5.07
42.0,-0.00030582304994813904,3.554981476072081,0.13702684280616817,2.36,2.7,3.1,3.55,4.08,4.68,5.36
43.0,0.0034056191712777345,3.7604106767803964,0.13575085914442878,2.5,2.87,3.28,3.76,4.31,4.93,5.65
44.0,-0.006863373271368971,3.9653472197285176,0.13451970409292557,2.65,3.03,3.47,3.96,4.54,5.19,5.94
45.0,-0.012380465365136373,4.16216660548643,0.1336107030578119,2.79,3.19,3.64,4.16,4.76,5.44,6.22
46.0,0.006338495483511782,4.36144062327434,0.13274889522247857,2.93,3.34,3.82,4.36,4.98,5.69,6.49
47.0,0.0031336282722633406,4.551803889392456,0.13196411712834583,3.06,3.5,3.99,4.55,5.19,5.93,6.76
48.0,-0.01083048623572885,4.737627688368362,0.13121361230884773,3.2,3.64,4.16,4.74,5.4,6.16,7.03
49.0,0.012826392879770424,4.92227912401017,0.13075941413836895,3.32,3.79,4.32,4.92,5.61,6.39,7.28
50.0,0.0013858920921555448,5.101039888270024,0.13029778940734388,3.45,3.93,4.48,5.1,5.81,6.62,7.54
51.0,-0.0035644246708130146,5.270313725224715,0.1296842775196137,3.57,4.07,4.63,5.27,6.0,6.83,7.78
52.0,-0.00018329333015106294,5.440255767026677,0.12940667678746462,3.69,4.2,4.78,5.44,6.19,7.05,8.02
53.0,-0.0007995894985616524,5.603240224662678,0.12939002316949477,3.8,4.33,4.92,5.6,6.38,7.26,8.26
54.0,0.015633014576914177,5.764983638857155,0.12905364751117446,3.91,4.45,5.07,5.76,6.56,7.46,8.48
55.0,-0.0008641526298346462,5.915774083160625,0.12884726891273657,4.02,4.57,5.2,5.92,6.73,7.65,8.71
56.0,0.012585497491661261,6.068025760017027,0.12877978693842937,4.12,4.69,5.33,6.07,6.9,7.85,8.92
57.0,-0.007993333139666504,6.208780903553852,0.12837732192909948,4.23,4.8,5.46,6.21,7.06,8.03,9.13
58.0,-0.0034762631356454604,6.350465543462662,0.12846164913575503,4.32,4.91,5.59,6.35,7.22,8.21,9.34
59.0,-0.004490223620620409,6.490441682416986,0.1282842775758199,4.42,5.02,5.71,6.49,7.38,8.39,9.54
60.0,-0.0039747686243346795,6.620409421573846,0.12831135946575864,4.51,5.12,5.82,6.62,7.53,8.56,9.73
61.0,-0.00021566119728343028,6.748368063784679,0.12833727418343768,4.59,5.22,5.94,6.75,7.67,8.72,9.92
62.0,-0.009357840526037827,6.871434481944704,0.1281216728955887,4.68,5.32,6.05,6.87,7.81,8.88,10.1
63.0,-0.0073481761368997785,6.9913963077054975,0.12833716237854342,4.76,5.41,6.15,6.99,7.95,9.04,10.28
64.0,-0.007199916480573315,7.10763787783847,0.12831017044455484,4.84,5.5,6.25,7.11,8.08,9.19,10.45
