weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
27.0,0.9433445712446056,23.95715764092915,0.0723241024710307,18.8,20.5,22.2,24.0,25.7,27.4,29.2
28.0,0.9999997950210207,25.09999952412242,0.06374502038654069,20.3,21.9,23.5,25.1,26.7,28.3,29.9
29.0,1.0604762285246627,26.16728923544762,0.05649019751091583,21.7,23.2,24.7,26.2,27.6,29.1,30.6
30.0,0.934886149817774,27.13371121958823,0.050815276012245246,23.0,24.4,25.8,27.1,28.5,29.9,31.3
31.0,1.0714119309133707,28.066054930517943,0.04707278027770998,24.1,25.4,26.7,28.1,29.4,30.7,32.0
32.0,0.9999941656840278,28.899999386739317,0.04275827647172733,25.2,26.4,27.7,28.9,30.1,31.4,32.6
33.0,0.9961693896528039,29.7139295009642,0.03942374829170372,26.2,27.4,28.5,29.7,30.9,32.1,33.2
34.0,0.8305158388607093,30.457147030048173,0.037178387047688374,27.1,28.2,29.3,30.5,31.6,32.7,33.9
35.0,1.00000069267144,31.2000000205231,0.035256406540954764,27.9,29.0,30.1,31.2,32.3,33.4,34.5
36.0,1.1374909385096759,31.88095226039794,0.0329276930130722,28.7,29.8,30.8,31.9,32.9,34.0,35.0
37.0,0.9999978496985251,32.49999986506749,0.0318681270830903,29.4,30.4,31.5,32.5,33.5,34.6,35.6
38.0,0.6119044430000716,33.090316942822206,0.030546925547839315,30.1,31.1,32.1,33.1,34.1,35.1,36.2
39.0,1.0000006294575892,33.70000005411515,0.02967358548247377,30.7,31.7,32.7,33.7,34.7,35.7,36.7
40.0,0.5779047942320212,34.204760228802975,0.02871544261451596,31.3,32.3,33.2,34.2,35.2,36.2,37.2
41.0,1.1807241372914683,34.76710974689928,0.028140058249629424,31.8,32.8,33.8,34.8,35.7,36.7,37.7
42.0,1.1832547338307378,35.26710700363651,0.027741151754935172,32.3,33.3,34.3,35.3,36.2,37.2,38.2
43.0,0.995319551347735,35.71403816423555,0.027200292915588568,32.8,33.8,34.7,35.7,36.7,37.7,38.6
44.0,1.1878377174925363,36.167100258123874,0.02705096900564712,33.2,34.2,35.2,36.2,37.1,38.1,39.1
45.0,0.9906295461598413,36.59950924766516,0.02673748433625325,33.7,34.6,35.6,36.6,37.6,38.6,39.5
46.0,0.5433141743194493,37.00476061311451,0.026541846298361586,34.1,35.1,36.0,37.0,38.0,39.0,40.0
47.0,0.99998735161951,37.399999294684434,0.026737957079783183,34.4,35.4,36.4,37.4,38.4,39.4,40.4
48.0,0.9999994335789368,37.799999986140136,0.02645502072001546,34.8,35.8,36.8,37.8,38.8,39.8,40.8
49.0,0.8247025497553152,38.133259219915125,0.026788333593467068,35.1,36.1,37.1,38.1,39.2,40.2,41.2
50.0,0.99999675003242,38.4999997348773,0.025974019838621704,35.5,36.5,37.5,38.5,39.5,40.5,41.5
51.0,0.8215564724703847,38.83326326245008,0.026305378661738443,35.8,36.8,37.8,38.8,39.9,40.9,41.9
52.0,1.170437496395198,39.166232286120426,0.026074548985016925,36.1,37.1,38.1,39.2,40.2,41.2,42.2
53.0,1.1801941738084847,39.46708369214473,0.02641818091888481,36.3,37.4,38.4,39.5,40.5,41.5,42.6
54.0,1.1615737056331685,39.766233450909326,0.026579224466239285,36.6,37.6,38.7,39.8,40.8,41.9,42.9
55.0,1.2505717658252904,40.042858167625155,0.026659507878449368,36.8,37.9,39.0,40.0,41.1,42.2,43.2
56.0,0.5903111881224815,40.304760666248896,0.026850678364730502,37.1,38.2,39.2,40.3,41.4,42.5,43.6
57.0,1.000001844341177,40.600000173791166,0.02709359127634327,37.3,38.4,39.5,40.6,41.7,42.8,43.9
58.0,0.8439331407177844,40.83323757792742,0.027466227535785995,37.5,38.6,39.7,40.8,42.0,43.1,44.2
59.0,1.0087959208355382,41.10053875192247,0.027284792479158364,37.7,38.9,40.0,41.1,42.2,43.3,44.5
60.0,1.2301614167381978,41.34285895119846,0.02737616633442518,37.9,39.1,40.2,41.3,42.5,43.6,44.7
61.0,1.1495537216620446,41.58095177196457,0.027652064622634986,38.1,39.3,40.4,41.6,42.7,43.9,45.0
62.0,1.0000072335520622,41.8000005023179,0.027853719727822347,38.3,39.5,40.6,41.8,43.0,44.1,45.3
63.0,0.9961103650587947,42.01403161932258,0.027881940371679115,38.5,39.7,40.8,42.0,43.2,44.4,45.5
64.0,1.0000028750884749,42.20000018939677,0.02843601298339205,38.6,39.8,41.0,42.2,43.4,44.6,45.8
