weeks,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
27.0,-0.001724204751150181,31.71103646410426,0.06899157779759196,25.8,27.6,29.6,31.7,34.0,36.4,39.0
28.0,-0.0025207738442079033,33.48685545714225,0.06337200743131113,27.7,29.5,31.4,33.5,35.7,38.0,40.5
29.0,0.04989457172607151,35.22451951420941,0.058906818176952806,29.5,31.3,33.2,35.2,37.4,39.6,42.0
30.0,-0.05008762029154586,36.821368782933206,0.05515516789408589,31.2,33.0,34.9,36.8,38.9,41.1,43.5
31.0,0.024392527047143144,38.40051911760858,0.0515622601689057,32.9,34.6,36.5,38.4,40.4,42.6,44.8
32.0,0.19921084411083084,39.91922602514305,0.048783456138212465,34.4,36.2,38.0,39.9,41.9,44.0,46.1
33.0,0.06351401760608447,41.27648990039556,0.04636862775833279,35.9,37.6,39.4,41.3,43.2,45.3,47.4
34.0,-0.002898085495295146,42.576540918674986,0.044105183651267726,37.3,39.0,40.7,42.6,44.5,46.5,48.6
35.0,0.10528357289311147,43.872892426823014,0.0424307686521984,38.6,40.3,42.0,43.9,45.8,47.7,49.8
36.0,0.051053497121235615,45.069433101076605,0.04113634212638308,39.8,41.5,43.3,45.1,46.9,48.9,51.0
37.0,0.11412307691226024,46.21442898464187,0.03959489403289767,41.0,42.7,44.4,46.2,48.1,50.0,52.0
38.0,0.09845072203089059,47.315200735896624,0.03867365225003813,42.1,43.8,45.5,47.3,49.2,51.1,53.1
39.0,-0.010944151822502768,48.33353948490577,0.0375468818809423,43.2,44.8,46.6,48.3,50.2,52.1,54.1
40.0,-0.031845294966580825,49.333546160822046,0.03678459274341157,44.2,45.8,47.6,49.3,51.2,53.1,55.1
41.0,-0.08368962808817013,50.28485342138417,0.036293370949293184,45.1,46.8,48.5,50.3,52.1,54.1,56.1
42.0,0.018423603307601098,51.214460356266244,0.035723657232248525,46.0,47.7,49.4,51.2,53.1,55.0,57.0
43.0,-0.1048563318507665,52.0716698843373,0.03518566014657948,46.9,48.5,50.3,52.1,53.9,55.9,57.9
44.0,0.0003454935010148174,52.90093307489041,0.034719661088192286,47.7,49.3,51.1,52.9,54.8,56.7,58.7
45.0,-0.0057760027879055174,53.699153698631434,0.034601303387819506,48.4,50.1,51.9,53.7,55.6,57.5,59.6
46.0,-0.1205829048448757,54.47166505552546,0.034160162787646726,49.2,50.9,52.6,54.5,56.4,58.3,60.4
47.0,-0.01808929774394818,55.21446243506955,0.033781684355022046,49.9,51.6,53.4,55.2,57.1,59.1,61.1
48.0,-0.023312779393399007,55.91248107362641,0.0337416020087211,50.5,52.3,54.1,55.9,57.8,59.8,61.9
49.0,0.01701860829158113,56.616321930260376,0.03370647543760296,51.2,52.9,54.7,56.6,58.6,60.6,62.6
50.0,-0.09278096053802172,57.27164309703097,0.03374075027365684,51.8,53.5,55.4,57.3,59.2,61.3,63.4
51.0,0.02381743122368272,57.89918483440557,0.033822109696265985,52.3,54.1,56.0,57.9,59.9,61.9,64.1
52.0,0.027944704131482513,58.5144340995259,0.03358971620954123,52.9,54.7,56.6,58.5,60.5,62.6,64.7
53.0,0.0959693801572032,59.135862816361374,0.03366455756884305,53.4,55.3,57.2,59.1,61.2,63.2,65.4
54.0,-0.10610381334970621,59.70611953578458,0.03379614904883416,54.0,55.8,57.7,59.7,61.8,63.9,66.1
55.0,-0.03980033788521165,60.27160745619377,0.03372542905324384,54.5,56.3,58.3,60.3,62.3,64.5,66.7
56.0,0.09745096464752408,60.81615883080229,0.033969204070417015,54.9,56.8,58.8,60.8,62.9,65.1,67.3
57.0,0.03549455629938023,61.3487120436447,0.03401496178543668,55.4,57.3,59.3,61.3,63.5,65.7,67.9
58.0,0.1673874964610853,61.880265313793544,0.03408392083256024,55.8,57.8,59.8,61.9,64.0,66.2,68.5
59.0,0.022385777727945953,62.37157599313047,0.03419820978834368,56.3,58.2,60.3,62.4,64.5,66.8,69.1
60.0,-0.1941777018668746,62.80872640988468,0.03432298165951421,56.7,58.7,60.7,62.8,65.0,67.3,69.7
61.0,-0.023848644925814188,63.303954887939284,0.03436346942665303,57.1,59.1,61.2,63.3,65.5,67.8,70.2
62.0,-0.09567232366384404,63.7610404951085,0.034608481307254135,57.5,59.5,61.6,63.8,66.0,68.3,70.8
63.0,-0.0411654736972267,64.23834761177457,0.034748264245100004,57.9,59.9,62.1,64.2,66.5,68.9,71.3
64.0,0.037549042759271616,64.70587488161435,0.034839398658291866,58.3,60.3,62.5,64.7,67.0,69.4,71.8
