days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
168.0,1.0032849716681191,2.3068388057418665,0.2590844462268068,0.51,1.11,1.71,2.31,2.9,3.5,4.1
169.0,0.9994637147996468,2.321246890389861,0.2572639805880002,0.53,1.13,1.72,2.32,2.92,3.52,4.11
170.0,0.9982099801487428,2.3336825006807222,0.25622926615029695,0.54,1.14,1.74,2.33,2.93,3.53,4.13
171.0,0.9989841878206017,2.3482327561811553,0.25431844395437986,0.56,1.15,1.75,2.35,2.95,3.54,4.14
172.0,0.9981638812674792,2.3636756468128213,0.2529773136551749,0.57,1.17,1.77,2.36,2.96,3.56,4.16
173.0,0.9994561297619815,2.3812500935194585,0.250780869801676,0.59,1.19,1.78,2.38,2.98,3.58,4.17
174.0,1.0034404462212032,2.396836920778324,0.2493599736136307,0.6,1.2,1.8,2.4,2.99,3.59,4.19
175.0,0.9980847523415854,2.4136664725694095,0.24773737727271145,0.62,1.22,1.82,2.41,3.01,3.61,4.21
176.0,0.9980524928669392,2.433662554822296,0.24570168840726084,0.64,1.24,1.84,2.43,3.03,3.63,4.23
177.0,0.9994430645165719,2.4512523945503317,0.24361849746311312,0.66,1.26,1.85,2.45,3.05,3.65,4.24
178.0,0.9994401469397299,2.4712532633477946,0.2416466376707299,0.68,1.28,1.87,2.47,3.07,3.67,4.26
179.0,0.9990036197052472,2.488262222525316,0.24000290895523343,0.7,1.29,1.89,2.49,3.09,3.68,4.28
180.0,0.999434550583863,2.511255015471525,0.2377971555891747,0.72,1.32,1.91,2.51,3.11,3.71,4.3
181.0,0.9994327023413134,2.531256404967163,0.23591788589038706,0.74,1.34,1.93,2.53,3.13,3.73,4.32
182.0,0.9978605706816565,2.5536394822761963,0.23415706892551752,0.76,1.36,1.96,2.55,3.15,3.75,4.35
183.0,1.0037349435604035,2.5768314154988605,0.23194824262072333,0.78,1.38,1.98,2.58,3.17,3.77,4.37
184.0,0.9990136408537168,2.598280172471597,0.2298386283760292,0.81,1.4,2.0,2.6,3.2,3.79,4.39
185.0,0.9994217275426814,2.6212595854091574,0.22781686181780367,0.83,1.43,2.02,2.62,3.22,3.82,4.41
186.0,1.0038465103234193,2.6468285057838803,0.22581643264697362,0.85,1.45,2.05,2.65,3.24,3.84,4.44
187.0,0.9994168693037191,2.6712622991204413,0.22355207731570215,0.88,1.48,2.07,2.67,3.27,3.87,4.46
188.0,0.9990237301458504,2.698295308494571,0.221317924809039,0.91,1.5,2.1,2.7,3.3,3.89,4.49
189.0,0.9975955365178165,2.723612216963542,0.21954276242356668,0.93,1.53,2.13,2.72,3.32,3.92,4.52
190.0,0.9994078388279509,2.751265184875872,0.21705103741181675,0.96,1.56,2.15,2.75,3.35,3.95,4.54
191.0,0.99902823074304,2.7783059783533335,0.21494337943735076,0.99,1.58,2.18,2.78,3.38,3.97,4.57
192.0,0.9990304799641638,2.808309806128627,0.21264659355534718,1.02,1.61,2.21,2.81,3.41,4.0,4.6
193.0,1.0041424626728515,2.836822763049636,0.21069711855612988,1.04,1.64,2.24,2.84,3.43,4.03,4.63
194.0,0.9990346218219561,2.868317189989255,0.20819724636813627,1.08,1.67,2.27,2.87,3.47,4.06,4.66
195.0,0.9990368312613506,2.898320695952002,0.20604169079791254,1.11,1.7,2.3,2.9,3.5,4.09,4.69
196.0,0.9990393117603042,2.928324247134742,0.20393029669151772,1.14,1.73,2.33,2.93,3.53,4.12,4.72
197.0,0.9993852844970835,2.9612742665619467,0.20165695047597013,1.17,1.77,2.36,2.96,3.56,4.16,4.75
198.0,1.0043856905045574,2.996817305548793,0.1994515729272567,1.2,1.8,2.4,3.0,3.59,4.19,4.79
