days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
168.0,0.998960063498755,2.1681864862070395,0.27544382113514676,0.38,0.97,1.57,2.17,2.77,3.36,3.96
169.0,0.999489887935091,2.181241458474184,0.2737784131873823,0.39,0.99,1.58,2.18,2.78,3.38,3.97
170.0,1.0030942255209254,2.1968425835541323,0.27205049730315234,0.4,1.0,1.6,2.2,2.79,3.39,3.99
171.0,0.9994836605812453,2.211242624115739,0.270063547637766,0.42,1.02,1.61,2.21,2.81,3.41,4.0
172.0,1.0031478689550295,2.2268423685177203,0.2683872069559329,0.43,1.03,1.63,2.23,2.82,3.42,4.02
173.0,0.9994789929614069,2.2412443909629474,0.26644804066716715,0.45,1.05,1.64,2.24,2.84,3.44,4.03
174.0,0.9989761015642982,2.25821250040052,0.2644591771034355,0.47,1.06,1.66,2.26,2.86,3.45,4.05
175.0,1.0032356397305324,2.276840527563455,0.26249627994364444,0.48,1.08,1.68,2.28,2.87,3.47,4.07
176.0,0.9982852828382119,2.2936945323602393,0.2606961363629568,0.5,1.1,1.7,2.29,2.89,3.49,4.09
177.0,0.998251337095712,2.313689772048379,0.25844292330307417,0.52,1.12,1.72,2.31,2.91,3.51,4.11
178.0,0.9994560935545126,2.3312454619673706,0.25616065541543886,0.54,1.14,1.73,2.33,2.93,3.53,4.12
179.0,0.9994589188969372,2.3512483234178485,0.25398105947471405,0.56,1.16,1.75,2.35,2.95,3.55,4.14
180.0,0.9994547081451064,2.371248764486359,0.2518386529833171,0.58,1.18,1.77,2.37,2.97,3.57,4.16
181.0,0.9981171854257562,2.3936708051051756,0.24980704136779744,0.6,1.2,1.8,2.39,2.99,3.59,4.19
182.0,0.9980847523415854,2.4136664725694095,0.24773737727271145,0.62,1.22,1.82,2.41,3.01,3.61,4.21
183.0,1.0035081354955595,2.436836705621854,0.24526856826846583,0.64,1.24,1.84,2.44,3.03,3.63,4.23
184.0,0.9994416018454406,2.4612528292534366,0.24262856105023053,0.67,1.27,1.86,2.46,3.06,3.66,4.25
185.0,0.9979731859898561,2.4836531230167287,0.2407560316375847,0.69,1.29,1.89,2.48,3.08,3.68,4.28
186.0,0.9990054250902621,2.5082656417934936,0.23808850703408632,0.72,1.31,1.91,2.51,3.11,3.7,4.3
187.0,0.9978922169014179,2.5336430609163263,0.2360052779323753,0.74,1.34,1.94,2.53,3.13,3.73,4.33
188.0,0.9990098539212942,2.558273662366913,0.23343356197793885,0.77,1.36,1.96,2.56,3.16,3.75,4.35
189.0,1.0037512501642785,2.5868311435299787,0.23105192422174636,0.79,1.39,1.99,2.59,3.18,3.78,4.38
