days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
168.0,1.000000433185654,32.200000090888864,0.0807453352395191,24.4,27.0,29.6,32.2,34.8,37.4,40.0
169.0,1.0000005706213755,32.39999927577454,0.0802469101812815,24.6,27.2,29.8,32.4,35.0,37.6,40.2
170.0,1.0000002336029008,32.60000014448527,0.07975459573311168,24.8,27.4,30.0,32.6,35.2,37.8,40.4
171.0,1.0000002350489157,32.80000014447338,0.07926828719558156,25.0,27.6,30.2,32.8,35.4,38.0,40.6
172.0,1.0000002357682836,32.90000014445403,0.07902735013966138,25.1,27.7,30.3,32.9,35.5,38.1,40.7
173.0,1.0000002375594843,33.100000144595896,0.0785498434636706,25.3,27.9,30.5,33.1,35.7,38.3,40.9
174.0,1.000000241343856,33.29999997510579,0.0780780721569792,25.5,28.1,30.7,33.3,35.9,38.5,41.1
175.0,1.000000241642167,33.500000145726446,0.07761193482628052,25.7,28.3,30.9,33.5,36.1,38.7,41.3
176.0,1.0000002463156334,33.70000011070681,0.0771513301212226,25.9,28.5,31.1,33.7,36.3,38.9,41.5
177.0,1.0000004597141097,33.80000012370469,0.07692307470539263,26.0,28.6,31.2,33.8,36.4,39.0,41.6
178.0,1.000000324019179,34.000000151561885,0.0764705838063499,26.2,28.8,31.4,34.0,36.6,39.2,41.8
179.0,1.0000001726881826,34.200000060230714,0.07602338896252417,26.4,29.0,31.6,34.2,36.8,39.4,42.0
180.0,1.000000256394508,34.399999940928694,0.07558139213283721,26.6,29.2,31.8,34.4,37.0,39.6,42.2
181.0,0.9999994437312624,34.59999991780648,0.07514450197101354,26.8,29.4,32.0,34.6,37.2,39.8,42.4
182.0,0.9999993612629514,34.79999980872548,0.0747126383525009,27.0,29.6,32.2,34.8,37.4,40.0,42.6
183.0,1.0000000624971497,34.899999603966755,0.07449855811596294,27.1,29.7,32.3,34.9,37.5,40.1,42.7
184.0,1.000000234100629,35.09999986796501,0.07407407171408945,27.3,29.9,32.5,35.1,37.7,40.3,42.9
185.0,1.0000003687011805,35.2999997815499,0.07365439056154557,27.5,30.1,32.7,35.3,37.9,40.5,43.1
186.0,1.0000004450298452,35.49999965663397,0.07323943801649699,27.7,30.3,32.9,35.5,38.1,40.7,43.3
187.0,1.0000005106256706,35.69999937630951,0.07282913650514478,27.9,30.5,33.1,35.7,38.3,40.9,43.5
188.0,1.0000004239839222,35.800000234887534,0.07262569246696395,28.0,30.6,33.2,35.8,38.4,41.0,43.6
189.0,1.0000007646633144,36.00000042498051,0.07222221540556127,28.2,30.8,33.4,36.0,38.6,41.2,43.8
190.0,1.0000021100928334,36.200001196301216,0.07182319396830328,28.4,31.0,33.6,36.2,38.8,41.4,44.0
191.0,1.00000670683362,36.40000390021493,0.07142854888280387,28.6,31.2,33.8,36.4,39.0,41.6,44.2
192.0,1.0000063263997874,36.600001397670674,0.07103825860333333,28.8,31.4,34.0,36.6,39.2,41.8,44.4
193.0,1.0280539681747003,36.767352496046435,0.07012001539422918,29.0,31.6,34.2,36.8,39.3,41.9,44.5
194.0,1.0000002274474153,36.900000121298994,0.07046069851120702,29.1,31.7,34.3,36.9,39.5,42.1,44.7
195.0,1.0000018888186106,37.100001140281776,0.0700808521720765,29.3,31.9,34.5,37.1,39.7,42.3,44.9
196.0,1.0000005482452734,37.30000030538791,0.06970508715161845,29.5,32.1,34.7,37.3,39.9,42.5,45.1
197.0,1.0000003612353123,37.500000188890255,0.0693333274339022,29.7,32.3,34.9,37.5,40.1,42.7,45.3
198.0,1.0000003379289122,37.70000017292737,0.06896551146274334,29.9,32.5,35.1,37.7,40.3,42.9,45.5
199.0,1.0000003192964662,37.80000016106608,0.06878306310672082,30.0,32.6,35.2,37.8,40.4,43.0,45.6
200.0,1.0000002947388285,38.000000143196026,0.06842104707918818,30.2,32.8,35.4,38.0,40.6,43.2,45.8
201.0,1.0000002829190413,38.20000012833396,0.06806282173898662,30.4,33.0,35.6,38.2,40.8,43.4,46.0
202.0,1.00000028646825,38.400000119215626,0.06770832791467961,30.6,33.2,35.8,38.4,41.0,43.6,46.2
203.0,1.0000009459484749,38.59999957556604,0.06735751752675445,30.8,33.4,36.0,38.6,41.2,43.8,46.4
204.0,1.0000008949756152,38.69999959955185,0.06718346598342677,30.9,33.5,36.1,38.7,41.3,43.9,46.5
205.0,1.0000002638704335,38.90000012426949,0.06683804100636244,31.1,33.7,36.3,38.9,41.5,44.1,46.7
206.0,1.0000002518326192,39.10000012708604,0.06649615839833675,31.3,33.9,36.5,39.1,41.7,44.3,46.9
207.0,1.0000002461994446,39.30000012948056,0.06615775550047256,31.5,34.1,36.7,39.3,41.9,44.5,47.1
208.0,1.000000246268278,39.5000001316602,0.06582277947251568,31.7,34.3,36.9,39.5,42.1,44.7,47.3
209.0,1.0000005456768377,39.6999996436056,0.065491180959297,31.9,34.5,37.1,39.7,42.3,44.9,47.5
210.0,1.000000511068791,39.79999965758415,0.06532662983174306,32.0,34.6,37.2,39.8,42.4,45.0,47.6
211.0,1.0000004385268537,39.99999970593261,0.06499999589611866,32.2,34.8,37.4,40.0,42.6,45.2,47.8
212.0,1.0000003684337628,40.19999979685376,0.06467661216497957,32.4,35.0,37.6,40.2,42.8,45.4,48.0
213.0,1.000000328680373,40.39999999791028,0.0643564305459527,32.6,35.2,37.8,40.4,43.0,45.6,48.2
214.0,1.0000003621405347,40.60000017060344,0.06403940362188955,32.8,35.4,38.0,40.6,43.2,45.8,48.4
215.0,1.000000312859121,40.70000014357706,0.06388205860628483,32.9,35.5,38.1,40.7,43.3,45.9,48.5
216.0,1.0000002531865981,40.900000074209636,0.06356967658827657,33.1,35.7,38.3,40.9,43.5,46.1,48.7
217.0,1.000000260083553,41.10000011712964,0.06326033512220813,33.3,35.9,38.5,41.1,43.7,46.3,48.9
218.0,1.0000002991208896,41.30000014524596,0.06295398984011423,33.5,36.1,38.7,41.3,43.9,46.5,49.1
219.0,1.0000002669979744,41.50000013853749,0.06265059699078257,33.7,36.3,38.9,41.5,44.1,46.7,49.3
220.0,0.9252726285117456,41.59009599543564,0.062275334574309275,33.9,36.4,39.0,41.6,44.2,46.8,49.4
221.0,1.0000003201297436,41.8000001318764,0.06220095166624263,34.0,36.6,39.2,41.8,44.4,47.0,49.6
222.0,1.0000004343667948,41.9999997360899,0.061904776828769215,34.2,36.8,39.4,42.0,44.6,47.2,49.8
223.0,1.0000001063180586,42.200000100993655,0.06161136936181731,34.4,37.0,39.6,42.2,44.8,47.4,50.0
224.0,1.0000003088409537,42.400000146941174,0.06132074942037202,34.6,37.2,39.8,42.4,45.0,47.6,50.2
225.0,1.0000003264824326,42.600000154660464,0.061032858538340624,34.8,37.4,40.0,42.6,45.2,47.8,50.4
