days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
168.0,0.008166474370427924,0.6035583535861858,0.19189517222741267,0.34,0.41,0.5,0.6,0.73,0.89,1.07
169.0,-0.04228267373264348,0.6113029527163614,0.19293821228122274,0.34,0.42,0.51,0.61,0.74,0.9,1.1
170.0,-0.0014153921136108457,0.6282525727480708,0.19214905399884463,0.35,0.43,0.52,0.63,0.76,0.92,1.12
171.0,-0.014852412456740774,0.6379504445691105,0.19265877291336211,0.36,0.43,0.53,0.64,0.77,0.94,1.14
172.0,0.044154234800062,0.6520047017301842,0.19453481069131093,0.36,0.44,0.54,0.65,0.79,0.96,1.16
173.0,0.008916951881927222,0.6627653315622246,0.19323080571985812,0.37,0.45,0.55,0.66,0.8,0.98,1.18
174.0,-0.017746233323835403,0.6765162207360572,0.19219216893768312,0.38,0.46,0.56,0.68,0.82,0.99,1.21
175.0,-0.0118157073397593,0.6904163974504309,0.19155432448087398,0.39,0.47,0.57,0.69,0.84,1.01,1.23
176.0,0.005386718751054912,0.701352908980399,0.19275276784741865,0.39,0.48,0.58,0.7,0.85,1.03,1.25
177.0,-0.028458814439986824,0.7140427561468987,0.19278750526161134,0.4,0.49,0.59,0.71,0.87,1.05,1.28
178.0,-0.011082022523069526,0.7267551957100531,0.19314961613814183,0.41,0.49,0.6,0.73,0.88,1.07,1.3
179.0,-0.04274931658848755,0.7394667400634073,0.1931673982540803,0.42,0.5,0.61,0.74,0.9,1.09,1.33
180.0,0.035546797340152106,0.7565127078670029,0.19471167708641185,0.42,0.51,0.62,0.76,0.92,1.11,1.35
181.0,-0.02413024167525908,0.7682791138883227,0.19337584120595164,0.43,0.52,0.64,0.77,0.93,1.13,1.38
182.0,-0.0002345873440842488,0.7841536131793282,0.19364638893694128,0.44,0.53,0.65,0.78,0.95,1.16,1.4
183.0,-0.004231009047649754,0.7998586775132466,0.19358900040990723,0.45,0.54,0.66,0.8,0.97,1.18,1.43
184.0,0.00018667917820459125,0.8137465632428229,0.1930167579410305,0.46,0.55,0.67,0.81,0.99,1.2,1.45
185.0,0.037651198641293585,0.8296039619022929,0.19498991680760827,0.46,0.56,0.68,0.83,1.01,1.22,1.48
186.0,0.040144920311390546,0.8475661798655619,0.19417042818129393,0.47,0.57,0.7,0.85,1.03,1.24,1.51
187.0,-0.002779947689478997,0.8590634608839411,0.194499774490803,0.48,0.58,0.71,0.86,1.04,1.27,1.54
188.0,-0.022999927390375208,0.8758526810516175,0.19306817921535033,0.49,0.6,0.72,0.88,1.06,1.29,1.57
