days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
168.0,0.9381046295802239,22.071985354282138,0.07073283351604535,17.4,19.0,20.5,22.1,23.6,25.2,26.8
169.0,1.068300434910138,22.229350073170433,0.07017789954694384,17.5,19.1,20.7,22.2,23.8,25.3,26.9
170.0,0.9540593890622211,22.33282812756686,0.06974110473389888,17.7,19.2,20.8,22.3,23.9,25.5,27.0
171.0,0.9369095605837557,22.471967030743734,0.06947332632673353,17.8,19.4,20.9,22.5,24.0,25.6,27.2
172.0,1.0000129708675043,22.600002782631137,0.06921616180042128,17.9,19.5,21.0,22.6,24.2,25.7,27.3
173.0,1.069789928796724,22.729335813985077,0.06863475826692152,18.0,19.6,21.2,22.7,24.3,25.8,27.4
174.0,1.0407809383026734,22.86584268411749,0.0680825843593017,18.2,19.7,21.3,22.9,24.4,26.0,27.5
175.0,0.9354110228093381,22.971950059172716,0.06796072984323077,18.3,19.9,21.4,23.0,24.5,26.1,27.7
176.0,1.0000137638098425,23.100002743349403,0.06771797072606113,18.4,20.0,21.5,23.1,24.7,26.2,27.8
177.0,0.9522949250627909,23.232850342605385,0.06703867023077319,18.6,20.1,21.7,23.2,24.8,26.4,27.9
178.0,1.0417642237725353,23.365857668979462,0.06662609843678935,18.7,20.2,21.8,23.4,24.9,26.5,28.0
179.0,0.9339135622435928,23.471933950373646,0.06651259140579811,18.8,20.4,21.9,23.5,25.0,26.6,28.2
180.0,1.0725221796640378,23.629324526577125,0.06602186235105115,18.9,20.5,22.1,23.6,25.2,26.7,28.3
181.0,0.9513160460616026,23.73286436565683,0.06562591210348945,19.1,20.6,22.2,23.7,25.3,26.9,28.4
182.0,1.0427438650663594,23.86587483649702,0.06523034466951176,19.2,20.7,22.3,23.9,25.4,27.0,28.5
183.0,1.0000103976451515,24.00000177283835,0.06517854689968809,19.3,20.9,22.4,24.0,25.6,27.1,28.7
184.0,1.073991594129601,24.129306053690872,0.06465418550893896,19.4,21.0,22.6,24.1,25.7,27.2,28.8
