days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
168.0,1.0000002018904801,31.800000169238086,0.08176100060653381,24.0,26.6,29.2,31.8,34.4,37.0,39.6
169.0,0.9999967661757561,31.999998679565074,0.0812499920074512,24.2,26.8,29.4,32.0,34.6,37.2,39.8
170.0,1.0542324479588232,32.20848053211636,0.08035431573028162,24.4,27.0,29.6,32.2,34.8,37.4,39.9
171.0,1.00000031156235,32.30000019141425,0.08049535068701393,24.5,27.1,29.7,32.3,34.9,37.5,40.1
172.0,1.0000002328481052,32.500000144474086,0.07999999450307747,24.7,27.3,29.9,32.5,35.1,37.7,40.3
173.0,1.0000002343411143,32.70000014448843,0.07951069787317133,24.9,27.5,30.1,32.7,35.3,37.9,40.5
174.0,1.0000002357682836,32.90000014445403,0.07902735013966138,25.1,27.7,30.3,32.9,35.5,38.1,40.7
175.0,1.0000002375594843,33.100000144595896,0.0785498434636706,25.3,27.9,30.5,33.1,35.7,38.3,40.9
176.0,1.0000033089860856,33.19998362250836,0.07831325289401084,25.4,28.0,30.6,33.2,35.8,38.4,41.0
177.0,1.0000001126802351,33.400000849527636,0.07784430193357064,25.6,28.2,30.8,33.4,36.0,38.6,41.2
178.0,1.000000240555707,33.600000205328016,0.07738094675163011,25.8,28.4,31.0,33.6,36.2,38.8,41.4
179.0,1.0000004597141097,33.80000012370469,0.07692307470539263,26.0,28.6,31.2,33.8,36.4,39.0,41.6
180.0,1.000000324019179,34.000000151561885,0.0764705838063499,26.2,28.8,31.4,34.0,36.6,39.2,41.8
181.0,1.000000245231948,34.10000015491242,0.07624632885393895,26.3,28.9,31.5,34.1,36.7,39.3,41.9
182.0,1.0000002356891733,34.30000013068266,0.07580174380230896,26.5,29.1,31.7,34.3,36.9,39.5,42.1
183.0,0.9999993294933675,34.499999932959305,0.07536231066447355,26.7,29.3,31.9,34.5,37.1,39.7,42.3
184.0,1.0000002997658548,34.700000164050394,0.07492794833667449,26.9,29.5,32.1,34.7,37.3,39.9,42.5
185.0,1.0000000624971497,34.899999603966755,0.07449855811596294,27.1,29.7,32.3,34.9,37.5,40.1,42.7
186.0,1.000000234100629,35.09999986796501,0.07407407171408945,27.3,29.9,32.5,35.1,37.7,40.3,42.9
187.0,1.0000003069637802,35.19999981591652,0.07386363522066675,27.4,30.0,32.6,35.2,37.8,40.4,43.0
188.0,1.000000411169434,35.399999733383964,0.07344632806022251,27.6,30.2,32.8,35.4,38.0,40.6,43.2
189.0,1.0000004783469387,35.59999954081367,0.07303371072166708,27.8,30.4,33.0,35.6,38.2,40.8,43.4
190.0,1.0000004239839222,35.800000234887534,0.07262569246696395,28.0,30.6,33.2,35.8,38.4,41.0,43.6
191.0,1.0000007646633144,36.00000042498051,0.07222221540556127,28.2,30.8,33.4,36.0,38.6,41.2,43.8
192.0,1.0000012177790814,36.10000068257745,0.07202215260803557,28.3,30.9,33.5,36.1,38.7,41.3,43.9
193.0,1.0000038090138834,36.300002187373714,0.07162532940502483,28.5,31.1,33.7,36.3,38.9,41.5,44.1
194.0,1.0000107105972793,36.5000063034103,0.0712328437395454,28.7,31.3,33.9,36.5,39.1,41.7,44.3
195.0,1.000006799213983,36.700001513537494,0.07084469571081957,28.9,31.5,34.1,36.7,39.3,41.9,44.5
196.0,1.0000002274474153,36.900000121298994,0.07046069851120702,29.1,31.7,34.3,36.9,39.5,42.1,44.7
197.0,0.9754152103599096,37.03398063067914,0.06963646648767001,29.3,31.9,34.5,37.0,39.6,42.2,44.8
198.0,1.0000009507466399,37.200000557537926,0.06989246522532776,29.4,32.0,34.6,37.2,39.8,42.4,45.0
199.0,1.00000036375962,37.4000001915835,0.06951871067026888,29.6,32.2,34.8,37.4,40.0,42.6,45.2
200.0,1.000000356804222,37.60000018499093,0.06914893028844502,29.8,32.4,35.0,37.6,40.2,42.8,45.4
201.0,1.0000003192964662,37.80000016106608,0.06878306310672082,30.0,32.6,35.2,37.8,40.4,43.0,45.6
202.0,1.0000002947388285,38.000000143196026,0.06842104707918818,30.2,32.8,35.4,38.0,40.6,43.2,45.8
203.0,1.0000004762173038,38.1000002461523,0.06824146323066146,30.3,32.9,35.5,38.1,40.7,43.3,45.9
204.0,1.00000028334798,38.30000012238123,0.06788511203726288,30.5,33.1,35.7,38.3,40.9,43.5,46.1
205.0,1.0000010019679082,38.499999540646776,0.06753247336396975,30.7,33.3,35.9,38.5,41.1,43.7,46.3
206.0,1.0000008949756152,38.69999959955185,0.06718346598342677,30.9,33.5,36.1,38.7,41.3,43.9,46.5
207.0,1.0000002638704335,38.90000012426949,0.06683804100636244,31.1,33.7,36.3,38.9,41.5,44.1,46.7
208.0,1.000000256900133,39.00000012578171,0.06666666139392605,31.2,33.8,36.4,39.0,41.6,44.2,46.8
209.0,1.0000002481736068,39.20000012837051,0.06632652531269884,31.4,34.0,36.6,39.2,41.8,44.4,47.0
210.0,1.0000002455701307,39.400000130549905,0.06598984238897204,31.6,34.2,36.8,39.4,42.0,44.6,47.2
211.0,1.0000002478714267,39.60000013271368,0.06565656031061771,31.8,34.4,37.0,39.6,42.2,44.8,47.4
212.0,1.000000511068791,39.79999965758415,0.06532662983174306,32.0,34.6,37.2,39.8,42.4,45.0,47.6
213.0,1.0000004385268537,39.99999970593261,0.06499999589611866,32.2,34.8,37.4,40.0,42.6,45.2,47.8
214.0,1.0000004019796507,40.09999974438009,0.06483790078616543,32.3,34.9,37.5,40.1,42.7,45.3,47.9
215.0,1.000000341904933,40.299999873914274,0.06451612405401765,32.5,35.1,37.7,40.3,42.9,45.5,48.1
216.0,0.9999960718747402,40.499997415745895,0.06419754222974997,32.7,35.3,37.9,40.5,43.1,45.7,48.3
217.0,1.000000312859121,40.70000014357706,0.06388205860628483,32.9,35.5,38.1,40.7,43.3,45.9,48.5
218.0,1.0000002531865981,40.900000074209636,0.06356967658827657,33.1,35.7,38.3,40.9,43.5,46.1,48.7
219.0,1.0000002520347444,41.00000009609317,0.06341462858487383,33.2,35.8,38.4,41.0,43.6,46.2,48.8
220.0,1.0000002791099927,41.200000135277364,0.06310679070781991,33.4,36.0,38.6,41.2,43.8,46.4,49.0
221.0,0.9999948505376757,41.399997937610486,0.06280194293137772,33.6,36.2,38.8,41.4,44.0,46.6,49.2
222.0,1.0000003877733823,41.60000015819051,0.06249999447894903,33.8,36.4,39.0,41.6,44.2,46.8,49.4
223.0,1.0000003201297436,41.8000001318764,0.06220095166624263,34.0,36.6,39.2,41.8,44.4,47.0,49.6
224.0,1.0000002530302856,41.90000017374669,0.06205249991706974,34.1,36.7,39.3,41.9,44.5,47.1,49.7
225.0,1.0000002787358575,42.100000134614675,0.06175771450052612,34.3,36.9,39.5,42.1,44.7,47.3,49.9
226.0,1.0000003066353802,42.300000152993974,0.06146571573562992,34.5,37.1,39.7,42.3,44.9,47.5,50.1
227.0,1.000000309630037,42.50000014617926,0.06117646529420092,34.7,37.3,39.9,42.5,45.1,47.7,50.3
228.0,1.0000000540001273,42.69999983816715,0.060889925061837415,34.9,37.5,40.1,42.7,45.3,47.9,50.5
229.0,0.9999965670758325,42.89999914067075,0.060606048838518736,35.1,37.7,40.3,42.9,45.5,48.1,50.7
230.0,0.9999975696541147,42.99999942827244,0.06046510617501325,35.2,37.8,40.4,43.0,45.6,48.2,50.8
