weeks,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
14,24.4,26.1,27.9,29.6,31.4,33.1,34.8
15,27.1,28.9,30.8,32.6,34.4,36.3,38.1
16,29.9,31.8,33.7,35.6,37.6,39.5,41.4
17,32.7,34.7,36.8,38.8,40.8,42.8,44.8
18,35.6,37.7,39.9,42.0,44.1,46.2,48.3
19,38.6,40.8,43.0,45.2,47.4,49.6,51.8
20,41.5,43.8,46.1,48.4,50.7,53.0,55.3
21,44.5,46.9,49.3,51.7,54.1,56.5,58.9
22,47.5,50.0,52.5,55.0,57.4,59.9,62.4
23,50.5,53.1,55.6,58.2,60.8,63.3,65.9
24,53.4,56.1,58.7,61.4,64.0,66.7,69.3
25,56.3,59.1,61.8,64.5,67.3,70.0,72.7
26,59.2,62.0,64.8,67.6,70.4,73.2,76.0
27,62.0,64.8,67.7,70.6,73.5,76.3,79.2
28,64.6,67.6,70.5,73.5,76.4,79.4,82.3
29,67.2,70.2,73.2,76.3,79.3,82.3,85.3
30,69.7,72.8,75.8,78.9,82.0,85.1,88.1
31,72.0,75.1,78.3,81.4,84.5,87.7,90.8
32,74.2,77.4,80.6,83.8,86.9,90.1,93.3
33,76.2,79.4,82.7,85.9,89.2,92.4,95.7
34,77.9,81.3,84.6,87.9,91.2,94.5,97.9
35,79.5,82.9,86.3,89.7,93.1,96.4,99.8
36,80.8,84.3,87.8,91.2,94.7,98.1,101.6
37,81.9,85.4,89.0,92.5,96.1,99.6,103.2
38,82.6,86.3,89.9,93.6,97.2,100.9,104.6
39,83.1,86.8,90.6,94.4,98.2,101.9,105.7
40,83.1,87.1,91.0,94.9,98.8,102.7,106.7
