Week,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
14,0.9037125710195586748983418536,90.16187051273446024717298649,1.024208166377823215654061369,66.09,73.10,81.07,90.16,100.56,112.48,126.19
15,0.2384394578224484628238970053,113.7841772269946655112933169,1.021543930994998405993322214,85.91,93.92,103.12,113.78,126.20,140.78,158.02
16,0.1082327532504323268228810421,142.1986081860396085408113747,1.019609860270604330169224532,109.18,118.62,129.52,142.20,157.06,174.64,195.66
17,0.07103659373027789739370959402,176.0903313782039301857578616,1.018196850786980361719230174,136.46,147.81,160.89,176.09,193.92,215.03,240.30
18,0.06000523737147259143764156989,216.1860811723440130686594796,1.017161641058109749202488645,168.30,182.04,197.85,216.19,237.63,262.94,293.16
19,0.06026366781013275748258973808,263.2446394478896340012076973,1.016404062584477650681307329,205.18,221.90,241.08,263.24,289.07,319.44,355.49
20,0.06812693675689931820117560747,318.0442379528456833059478019,1.015852829311718456042879966,247.60,267.95,291.23,318.04,349.16,385.57,428.54
21,0.08344312942397705264925060511,381.3666699086505338313067017,1.015456420036546066036481609,296.00,320.73,348.96,381.37,418.82,462.42,513.58
22,0.1077919908517784340906418094,453.9779939557827033692666559,1.015177089433351314504074761,350.80,380.78,414.91,453.98,498.95,551.06,611.85
23,0.1440859694521957220030169808,536.6058364966331351161812460,1.014986851473103146853087576,412.37,448.57,489.68,536.61,590.43,652.52,724.57
24,0.1966056899028300831749551839,629.9134490544115377039191374,1.014864735237253596319058124,481.00,524.50,573.80,629.91,694.07,767.77,852.87
25,0.2712065495741567134370076932,734.4708533311360650368569746,1.014794878602477232386129361,556.92,608.90,667.70,734.47,810.57,897.66,997.74
26,0.3756070537436441787383486690,850.7236039991392886433809882,1.014765183955746340029455498,640.23,701.98,771.72,850.72,940.51,1042.89,1160.05
27,0.5197183473104314161476270398,978.9599113429001438263466489,1.014766357264638705022741977,730.93,803.83,886.03,978.96,1084.28,1203.98,1340.41
28,0.7159889316951402926574662292,1119.277083685088492743234956,1.014791212631970542696393212,828.87,914.38,1010.66,1119.28,1242.07,1381.19,1539.16
29,0.9797429423806031410159636389,1271.548461712490751368981000,1.014834163271726700741690291,933.77,1033.40,1145.41,1271.55,1413.81,1574.51,1756.34
30,1.329492033707523482324193930,1435.392209888400086875075845,1.014890845061352479488385742,1045.17,1160.45,1289.89,1435.39,1599.12,1783.56,1991.57
31,1.787202396504761927506270733,1610.143489013601580120866432,1.014957835484524332609556851,1162.42,1294.89,1443.45,1610.14,1797.32,2007.62,2244.05
32,2.378500566588547330297394557,1794.831642722415084155561698,1.015032441951150621730680543,1284.72,1435.87,1605.17,1794.83,2007.35,2245.53,2512.52
33,3.132804642115862713543189134,1988.164073417668451958634903,1.015112541079676704139355746,1411.05,1582.30,1773.88,1988.16,2227.79,2495.71,2795.20
34,4.083371186195755260237306555,2188.518445278058440822400419,1.015196455761378268588710096,1540.24,1732.87,1948.13,2188.52,2456.82,2756.11,3089.77
35,5.267252182354888667136462886,2393.944721527748483610888640,1.015282860475980669801265307,1670.93,1886.07,2126.19,2393.94,2692.23,3024.22,3393.39
36,6.725160624244545989955832202,2602.178312134169489543326382,1.015370707901051981599698710,1801.61,2040.15,2306.08,2602.18,2931.43,3297.09,3702.71
37,8.501247360005385826078704282,2810.665273803145585182427423,1.015459171690687111121161298,1930.62,2193.20,2485.60,2810.67,3171.48,3571.36,4013.89
38,10.64279542671824187624473420,3016.600070354159570684264835,1.015547601617619802083461076,2056.22,2343.16,2662.32,3016.60,3409.14,3843.29,4322.65
39,13.19984111889648530804467128,3216.975879392254358037144343,1.015635488230122514526365554,2176.58,2487.86,2833.67,3216.98,3640.92,4108.86,4624.37
40,16.22473332708498893630553730,3408.646839484343988333430840,1.015722434875891499289224826,2289.84,2625.05,2997.00,3408.65,3863.14,4363.81,4914.18
41,19.77164421714904922406700173,3588.400997198194493771178443,1.015808135462375348350891142,2394.14,2752.48,3149.58,3588.40,4072.04,4603.77,5187.04
