Week,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
14.0,0.9354261218451122,13.091445880227191,0.11550072190493435,8.6,10.1,11.6,13.1,14.6,16.1,17.7
15.0,1.046866996960436,16.34283731356945,0.09588132428221068,11.6,13.2,14.8,16.3,17.9,19.5,21.0
16.0,1.0869641387952822,19.49499715147658,0.0829189141591776,14.6,16.2,17.9,19.5,21.1,22.7,24.3
17.0,0.9589450700355885,22.53278978112817,0.07356135653738688,17.6,19.2,20.9,22.5,24.2,25.9,27.5
18.0,1.0000005973530912,25.499999181672724,0.06666665618455582,20.4,22.1,23.8,25.5,27.2,28.9,30.6
19.0,1.0474302760150134,28.467312749561238,0.06120907029734732,23.2,25.0,26.7,28.5,30.2,31.9,33.7
20.0,0.9971940185624318,31.28514875813536,0.056622623816781084,26.0,27.7,29.5,31.3,33.1,34.8,36.6
21.0,1.045433200831263,34.06602397630049,0.053458678422073865,28.6,30.4,32.2,34.1,35.9,37.7,39.5
22.0,0.9475043397711221,36.73297189648466,0.050565057417017306,31.2,33.0,34.9,36.7,38.6,40.5,42.3
23.0,1.1314712550066923,39.39514773281028,0.047754736608088634,33.7,35.6,37.5,39.4,41.3,43.1,45.0
24.0,0.9999954654995641,41.89999881182429,0.046198430015607285,36.1,38.0,40.0,41.9,43.8,45.8,47.7
25.0,1.056618785906134,44.367159620104005,0.044588851192978035,38.4,40.4,42.4,44.4,46.3,48.3,50.3
26.0,0.9439061774077541,46.73302898316279,0.04325952217978948,40.7,42.7,44.7,46.7,48.8,50.8,52.8
27.0,1.0566222365235078,49.06713668686217,0.042356158897229344,42.8,44.9,47.0,49.1,51.1,53.2,55.3
28.0,1.002161740094667,51.28609705300477,0.04150368183210562,44.9,47.0,49.2,51.3,53.4,55.5,57.7
29.0,0.9482939276392894,53.43365532712799,0.04077518930348632,46.9,49.1,51.3,53.4,55.6,57.8,60.0
30.0,1.0760123776466948,55.528043411839796,0.04032037459693677,48.8,51.0,53.3,55.5,57.8,60.0,62.2
31.0,1.0001129737612702,57.50002454586119,0.03999987124029245,50.6,52.9,55.2,57.5,59.8,62.1,64.4
32.0,1.0522540052957994,59.46710570228397,0.039993783026106,52.3,54.7,57.1,59.5,61.8,64.2,66.6
33.0,1.074576954466047,61.32904264479751,0.04011666312940916,53.9,56.4,58.9,61.3,63.8,66.2,68.7
34.0,0.9298933935832242,63.057147487847935,0.040160882914919246,55.5,58.0,60.5,63.1,65.6,68.1,70.7
35.0,1.0017489145984015,64.78608809442133,0.040572942366149535,56.9,59.5,62.2,64.8,67.4,70.0,72.7
36.0,1.003549617131634,66.40079373930513,0.04098458904023969,58.2,61.0,63.7,66.4,69.1,71.8,74.6
37.0,1.03852612795968,67.96618683158563,0.04150875170580308,59.5,62.3,65.1,68.0,70.8,73.6,76.4
38.0,0.962102871412777,69.4190508182419,0.04249868329959809,60.6,63.5,66.5,69.4,72.4,75.3,78.3
39.0,0.9985266597870726,70.81389234535555,0.04337338433622021,61.6,64.7,67.7,70.8,73.9,77.0,80.0
40.0,0.9657624067191473,72.13298394362887,0.04466290804352418,62.5,65.7,68.9,72.1,75.4,78.6,81.8
